STATUS_KEY,EMP_CODE,STATUS_START_DATE,STATUS_END_DATE,TURNOVER
118405_20190101_29991231,118405,2019-01-01,,0.0
118462_20201121_29991231,118462,2020-11-21,,0.0
118722_20200501_29991231,118722,2020-05-01,,0.0
118822_20200501_29991231,118822,2020-05-01,,0.0
118842_20200101_29991231,118842,2020-01-01,,0.0
118843_20190101_29991231,118843,2019-01-01,,0.0
124402_20190101_20210201,124402,2019-01-01,2021-02-01,1.0
124442_20210201_20210210,124442,2021-02-01,2021-02-10,1.0
124542_20210101_20210216,124542,2021-01-01,2021-02-16,1.0
124542_20210216_29991231,124542,2021-02-16,,0.0
124582_20190101_20210223,124582,2019-01-01,2021-02-23,1.0
124583_20210101_20210121,124583,2021-01-01,2021-01-21,1.0
899_20141002_29991231,899,2014-10-02,,0.0
900_20140101_29991231,900,2014-01-01,,0.0
901_20140101_29991231,901,2014-01-01,,0.0
902_20121001_29991231,902,2012-10-01,,0.0
903_20140101_29991231,903,2014-01-01,,0.0
904_20140101_29991231,904,2014-01-01,,0.0
905_20140101_29991231,905,2014-01-01,,0.0
906_20140101_20141002,906,2014-01-01,2014-10-02,1.0
906_20141002_20150101,906,2014-10-02,2015-01-01,1.0
906_20150101_29991231,906,2015-01-01,,0.0
907_20140101_29991231,907,2014-01-01,,0.0
908_20140101_20141002,908,2014-01-01,2014-10-02,1.0
908_20141002_20150101,908,2014-10-02,2015-01-01,1.0
521_20090101_20120131,521,2009-01-01,2012-01-31,1.0
521_20120131_20120218,521,2012-01-31,2012-02-18,1.0
521_20120218_29991231,521,2012-02-18,,0.0
522_20080101_20141010,522,2008-01-01,2014-10-10,1.0
522_20141010_29991231,522,2014-10-10,,0.0
523_20121001_29991231,523,2012-10-01,,0.0
524_20121001_20151224,524,2012-10-01,2015-12-24,1.0
526_20120101_29991231,526,2012-01-01,,0.0
527_20121001_29991231,527,2012-10-01,,0.0
528_20121001_20131003,528,2012-10-01,2013-10-03,1.0
528_20131003_29991231,528,2013-10-03,,0.0
529_20120115_29991231,529,2012-01-15,,0.0
530_20120101_29991231,530,2012-01-01,,0.0
531_20140101_29991231,531,2014-01-01,,0.0
532_20130101_29991231,532,2013-01-01,,0.0
533_20131101_29991231,533,2013-11-01,,0.0
534_20131003_29991231,534,2013-10-03,,0.0
535_20130101_20131102,535,2013-01-01,2013-11-02,1.0
535_20131102_29991231,535,2013-11-02,,0.0
536_20121001_29991231,536,2012-10-01,,0.0
537_20121001_29991231,537,2012-10-01,,0.0
538_20140101_20140122,538,2014-01-01,2014-01-22,1.0
538_20140122_20170329,538,2014-01-22,2017-03-29,1.0
539_20140101_29991231,539,2014-01-01,,0.0
540_20140101_29991231,540,2014-01-01,,0.0
541_20140101_29991231,541,2014-01-01,,0.0
542_20140101_29991231,542,2014-01-01,,0.0
543_20140101_29991231,543,2014-01-01,,0.0
544_20140101_29991231,544,2014-01-01,,0.0
545_20130101_20140101,545,2013-01-01,2014-01-01,1.0
545_20140101_20140202,545,2014-01-01,2014-02-02,1.0
545_20140202_29991231,545,2014-02-02,,0.0
546_20131209_29991231,546,2013-12-09,,0.0
547_20131209_29991231,547,2013-12-09,,0.0
548_20131209_29991231,548,2013-12-09,,0.0
549_20131209_29991231,549,2013-12-09,,0.0
550_20140101_29991231,550,2014-01-01,,0.0
551_20140101_29991231,551,2014-01-01,,0.0
552_20140101_29991231,552,2014-01-01,,0.0
553_20140101_29991231,553,2014-01-01,,0.0
554_20140101_29991231,554,2014-01-01,,0.0
555_20140101_29991231,555,2014-01-01,,0.0
556_20140101_29991231,556,2014-01-01,,0.0
557_20130101_29991231,557,2013-01-01,,0.0
558_20140101_29991231,558,2014-01-01,,0.0
559_20130101_29991231,559,2013-01-01,,0.0
560_20130101_29991231,560,2013-01-01,,0.0
561_20140101_29991231,561,2014-01-01,,0.0
562_20140101_29991231,562,2014-01-01,,0.0
563_20130501_29991231,563,2013-05-01,,0.0
564_20130101_29991231,564,2013-01-01,,0.0
565_20130101_29991231,565,2013-01-01,,0.0
566_20140401_29991231,566,2014-04-01,,0.0
567_20140401_29991231,567,2014-04-01,,0.0
568_20130101_29991231,568,2013-01-01,,0.0
569_20130101_29991231,569,2013-01-01,,0.0
570_20130101_29991231,570,2013-01-01,,0.0
571_20130101_29991231,571,2013-01-01,,0.0
572_20130101_29991231,572,2013-01-01,,0.0
573_20130101_29991231,573,2013-01-01,,0.0
574_20130101_29991231,574,2013-01-01,,0.0
575_20130101_29991231,575,2013-01-01,,0.0
576_20130101_29991231,576,2013-01-01,,0.0
577_20140401_29991231,577,2014-04-01,,0.0
578_20140101_29991231,578,2014-01-01,,0.0
579_20140101_29991231,579,2014-01-01,,0.0
580_20140101_29991231,580,2014-01-01,,0.0
581_20130101_29991231,581,2013-01-01,,0.0
582_20140401_29991231,582,2014-04-01,,0.0
583_20130101_29991231,583,2013-01-01,,0.0
584_20130101_29991231,584,2013-01-01,,0.0
585_20140401_29991231,585,2014-04-01,,0.0
586_20140101_29991231,586,2014-01-01,,0.0
587_20130101_29991231,587,2013-01-01,,0.0
588_20130101_29991231,588,2013-01-01,,0.0
589_20130101_29991231,589,2013-01-01,,0.0
590_20130101_29991231,590,2013-01-01,,0.0
591_20140401_29991231,591,2014-04-01,,0.0
592_20140101_29991231,592,2014-01-01,,0.0
593_20130101_29991231,593,2013-01-01,,0.0
594_20140101_29991231,594,2014-01-01,,0.0
595_20140101_29991231,595,2014-01-01,,0.0
596_20140101_29991231,596,2014-01-01,,0.0
597_20140701_29991231,597,2014-07-01,,0.0
598_20140701_29991231,598,2014-07-01,,0.0
599_20140702_29991231,599,2014-07-02,,0.0
600_20140701_29991231,600,2014-07-01,,0.0
601_20140701_29991231,601,2014-07-01,,0.0
602_20140101_20170411,602,2014-01-01,2017-04-11,1.0
603_20140905_20150201,603,2014-09-05,2015-02-01,1.0
603_20150201_29991231,603,2015-02-01,,0.0
604_20140908_20150201,604,2014-09-08,2015-02-01,1.0
604_20150201_29991231,604,2015-02-01,,0.0
605_20140908_20160412,605,2014-09-08,2016-04-12,1.0
606_20140912_29991231,606,2014-09-12,,0.0
607_20140101_29991231,607,2014-01-01,,0.0
608_20140916_20150102,608,2014-09-16,2015-01-02,1.0
608_20150102_20150301,608,2015-01-02,2015-03-01,1.0
608_20150301_29991231,608,2015-03-01,,0.0
609_20140916_29991231,609,2014-09-16,,0.0
610_20140916_29991231,610,2014-09-16,,0.0
611_20140916_29991231,611,2014-09-16,,0.0
612_20140916_29991231,612,2014-09-16,,0.0
613_20140918_29991231,613,2014-09-18,,0.0
614_20140918_29991231,614,2014-09-18,,0.0
615_20140918_29991231,615,2014-09-18,,0.0
616_20140101_29991231,616,2014-01-01,,0.0
617_20140101_29991231,617,2014-01-01,,0.0
618_20140919_29991231,618,2014-09-19,,0.0
619_20140101_29991231,619,2014-01-01,,0.0
620_20140101_29991231,620,2014-01-01,,0.0
621_20140101_29991231,621,2014-01-01,,0.0
622_20141010_29991231,622,2014-10-10,,0.0
623_20140919_29991231,623,2014-09-19,,0.0
624_20140101_29991231,624,2014-01-01,,0.0
625_20140101_29991231,625,2014-01-01,,0.0
626_20140101_29991231,626,2014-01-01,,0.0
627_20140101_29991231,627,2014-01-01,,0.0
628_20140101_29991231,628,2014-01-01,,0.0
629_20141003_29991231,629,2014-10-03,,0.0
630_20141006_29991231,630,2014-10-06,,0.0
631_20141006_29991231,631,2014-10-06,,0.0
632_20140101_29991231,632,2014-01-01,,0.0
633_20140101_29991231,633,2014-01-01,,0.0
634_20130202_29991231,634,2013-02-02,,0.0
635_20130215_20140316,635,2013-02-15,2014-03-16,1.0
635_20140316_29991231,635,2014-03-16,,0.0
636_20130101_20130602,636,2013-01-01,2013-06-02,1.0
636_20130602_29991231,636,2013-06-02,,0.0
637_20070101_29991231,637,2007-01-01,,0.0
638_20140101_29991231,638,2014-01-01,,0.0
639_20140620_20140921,639,2014-06-20,2014-09-21,1.0
639_20140921_29991231,639,2014-09-21,,0.0
640_20140315_29991231,640,2014-03-15,,0.0
641_20121001_29991231,641,2012-10-01,,0.0
642_20121001_29991231,642,2012-10-01,,0.0
643_20121001_29991231,643,2012-10-01,,0.0
644_20121001_29991231,644,2012-10-01,,0.0
645_20121001_29991231,645,2012-10-01,,0.0
646_20121001_29991231,646,2012-10-01,,0.0
647_20121001_29991231,647,2012-10-01,,0.0
648_20141222_29991231,648,2014-12-22,,0.0
649_20121001_29991231,649,2012-10-01,,0.0
650_20121001_29991231,650,2012-10-01,,0.0
651_20121001_29991231,651,2012-10-01,,0.0
652_20121001_29991231,652,2012-10-01,,0.0
653_20140601_29991231,653,2014-06-01,,0.0
654_20140601_20141123,654,2014-06-01,2014-11-23,1.0
655_20140101_29991231,655,2014-01-01,,0.0
656_20100101_29991231,656,2010-01-01,,0.0
657_20140901_29991231,657,2014-09-01,,0.0
658_20121001_29991231,658,2012-10-01,,0.0
659_20121001_20140211,659,2012-10-01,2014-02-11,1.0
660_20140101_29991231,660,2014-01-01,,0.0
661_20121001_29991231,661,2012-10-01,,0.0
662_20121001_29991231,662,2012-10-01,,0.0
663_20121001_29991231,663,2012-10-01,,0.0
664_20140101_20140502,664,2014-01-01,2014-05-02,1.0
664_20140502_29991231,664,2014-05-02,,0.0
665_20121001_29991231,665,2012-10-01,,0.0
666_20121001_29991231,666,2012-10-01,,0.0
667_20140901_29991231,667,2014-09-01,,0.0
668_20140901_29991231,668,2014-09-01,,0.0
669_20121001_29991231,669,2012-10-01,,0.0
670_20121001_29991231,670,2012-10-01,,0.0
671_20121001_29991231,671,2012-10-01,,0.0
672_20121001_29991231,672,2012-10-01,,0.0
673_20121001_29991231,673,2012-10-01,,0.0
674_20150101_29991231,674,2015-01-01,,0.0
675_20150101_29991231,675,2015-01-01,,0.0
676_20121001_29991231,676,2012-10-01,,0.0
677_20121001_29991231,677,2012-10-01,,0.0
678_20121001_29991231,678,2012-10-01,,0.0
679_20140101_29991231,679,2014-01-01,,0.0
680_20130101_29991231,680,2013-01-01,,0.0
681_20130101_29991231,681,2013-01-01,,0.0
682_20140101_29991231,682,2014-01-01,,0.0
683_20121001_29991231,683,2012-10-01,,0.0
684_20121001_29991231,684,2012-10-01,,0.0
685_20121001_29991231,685,2012-10-01,,0.0
686_20140101_20140801,686,2014-01-01,2014-08-01,1.0
686_20140801_29991231,686,2014-08-01,,0.0
687_20121001_29991231,687,2012-10-01,,0.0
688_20121001_29991231,688,2012-10-01,,0.0
689_20121001_29991231,689,2012-10-01,,0.0
690_20140101_20140801,690,2014-01-01,2014-08-01,1.0
690_20140801_29991231,690,2014-08-01,,0.0
691_20150101_29991231,691,2015-01-01,,0.0
692_20121001_29991231,692,2012-10-01,,0.0
693_20121001_29991231,693,2012-10-01,,0.0
694_20121001_29991231,694,2012-10-01,,0.0
695_20121001_29991231,695,2012-10-01,,0.0
696_20121001_29991231,696,2012-10-01,,0.0
697_20121001_29991231,697,2012-10-01,,0.0
698_20121001_29991231,698,2012-10-01,,0.0
699_20121001_29991231,699,2012-10-01,,0.0
700_20121001_29991231,700,2012-10-01,,0.0
701_20121001_29991231,701,2012-10-01,,0.0
702_20121001_29991231,702,2012-10-01,,0.0
703_20121001_29991231,703,2012-10-01,,0.0
704_20150101_29991231,704,2015-01-01,,0.0
705_20150101_29991231,705,2015-01-01,,0.0
706_20150101_29991231,706,2015-01-01,,0.0
707_20140101_29991231,707,2014-01-01,,0.0
708_20140101_29991231,708,2014-01-01,,0.0
709_20121001_29991231,709,2012-10-01,,0.0
710_20140101_29991231,710,2014-01-01,,0.0
711_20150101_29991231,711,2015-01-01,,0.0
712_20140101_29991231,712,2014-01-01,,0.0
713_20140101_29991231,713,2014-01-01,,0.0
714_20150101_29991231,714,2015-01-01,,0.0
715_20141001_29991231,715,2014-10-01,,0.0
716_20141001_29991231,716,2014-10-01,,0.0
717_20140101_29991231,717,2014-01-01,,0.0
718_20140101_20141213,718,2014-01-01,2014-12-13,1.0
718_20141213_20160302,718,2014-12-13,2016-03-02,1.0
718_20160302_29991231,718,2016-03-02,,0.0
719_20121001_29991231,719,2012-10-01,,0.0
720_20121001_29991231,720,2012-10-01,,0.0
721_20121001_29991231,721,2012-10-01,,0.0
722_20140101_29991231,722,2014-01-01,,0.0
723_20140101_20150601,723,2014-01-01,2015-06-01,1.0
723_20150601_29991231,723,2015-06-01,,0.0
724_20150101_20150401,724,2015-01-01,2015-04-01,1.0
724_20150401_29991231,724,2015-04-01,,0.0
725_20150101_20150401,725,2015-01-01,2015-04-01,1.0
725_20150401_29991231,725,2015-04-01,,0.0
726_20140101_20150602,726,2014-01-01,2015-06-02,1.0
726_20150602_29991231,726,2015-06-02,,0.0
727_20140101_29991231,727,2014-01-01,,0.0
728_20140101_20150101,728,2014-01-01,2015-01-01,1.0
728_20150101_29991231,728,2015-01-01,,0.0
831_20140101_20140902,831,2014-01-01,2014-09-02,1.0
831_20140902_20150101,831,2014-09-02,2015-01-01,1.0
831_20150101_29991231,831,2015-01-01,,0.0
832_20150101_29991231,832,2015-01-01,,0.0
833_20150101_20150203,833,2015-01-01,2015-02-03,1.0
833_20150203_29991231,833,2015-02-03,,0.0
834_20140101_29991231,834,2014-01-01,,0.0
835_20140101_20141002,835,2014-01-01,2014-10-02,1.0
835_20141002_20150101,835,2014-10-02,2015-01-01,1.0
835_20150101_29991231,835,2015-01-01,,0.0
836_20140101_20141102,836,2014-01-01,2014-11-02,1.0
836_20141102_20150101,836,2014-11-02,2015-01-01,1.0
836_20150101_29991231,836,2015-01-01,,0.0
837_20140101_20141002,837,2014-01-01,2014-10-02,1.0
837_20141002_20150101,837,2014-10-02,2015-01-01,1.0
837_20150101_29991231,837,2015-01-01,,0.0
838_20140101_20141002,838,2014-01-01,2014-10-02,1.0
838_20141002_20150101,838,2014-10-02,2015-01-01,1.0
838_20150101_29991231,838,2015-01-01,,0.0
839_20140101_20141002,839,2014-01-01,2014-10-02,1.0
839_20141002_20150101,839,2014-10-02,2015-01-01,1.0
839_20150101_29991231,839,2015-01-01,,0.0
840_20140101_29991231,840,2014-01-01,,0.0
841_20140101_20141102,841,2014-01-01,2014-11-02,1.0
841_20141102_20150101,841,2014-11-02,2015-01-01,1.0
841_20150101_29991231,841,2015-01-01,,0.0
842_20140101_20141002,842,2014-01-01,2014-10-02,1.0
842_20141002_20150101,842,2014-10-02,2015-01-01,1.0
842_20150101_29991231,842,2015-01-01,,0.0
843_20150101_20151002,843,2015-01-01,2015-10-02,1.0
843_20151002_20160101,843,2015-10-02,2016-01-01,1.0
843_20160101_29991231,843,2016-01-01,,0.0
844_20140101_29991231,844,2014-01-01,,0.0
845_20140101_29991231,845,2014-01-01,,0.0
846_20140101_20141002,846,2014-01-01,2014-10-02,1.0
846_20141002_20150101,846,2014-10-02,2015-01-01,1.0
846_20150101_29991231,846,2015-01-01,,0.0
847_20140101_20141002,847,2014-01-01,2014-10-02,1.0
847_20141002_20150101,847,2014-10-02,2015-01-01,1.0
847_20150101_29991231,847,2015-01-01,,0.0
848_20150101_29991231,848,2015-01-01,,0.0
849_20150101_29991231,849,2015-01-01,,0.0
850_20140101_29991231,850,2014-01-01,,0.0
851_20140101_20141002,851,2014-01-01,2014-10-02,1.0
851_20141002_29991231,851,2014-10-02,,0.0
852_20140101_20141002,852,2014-01-01,2014-10-02,1.0
852_20141002_20150101,852,2014-10-02,2015-01-01,1.0
852_20150101_29991231,852,2015-01-01,,0.0
853_20140101_20141102,853,2014-01-01,2014-11-02,1.0
853_20141102_20150101,853,2014-11-02,2015-01-01,1.0
853_20150101_29991231,853,2015-01-01,,0.0
854_20140101_29991231,854,2014-01-01,,0.0
855_20140101_20141102,855,2014-01-01,2014-11-02,1.0
855_20141102_20150101,855,2014-11-02,2015-01-01,1.0
855_20150101_29991231,855,2015-01-01,,0.0
856_20150101_29991231,856,2015-01-01,,0.0
857_20140101_20141002,857,2014-01-01,2014-10-02,1.0
857_20141002_20150101,857,2014-10-02,2015-01-01,1.0
857_20150101_29991231,857,2015-01-01,,0.0
858_20150101_20151002,858,2015-01-01,2015-10-02,1.0
858_20151002_20160301,858,2015-10-02,2016-03-01,1.0
858_20160301_29991231,858,2016-03-01,,0.0
859_20140101_29991231,859,2014-01-01,,0.0
860_20140101_20140802,860,2014-01-01,2014-08-02,1.0
860_20140802_20160101,860,2014-08-02,2016-01-01,1.0
860_20160101_29991231,860,2016-01-01,,0.0
861_20150101_20151002,861,2015-01-01,2015-10-02,1.0
861_20151002_20160101,861,2015-10-02,2016-01-01,1.0
861_20160101_29991231,861,2016-01-01,,0.0
862_20140101_29991231,862,2014-01-01,,0.0
863_20140101_29991231,863,2014-01-01,,0.0
864_20140101_20140506,864,2014-01-01,2014-05-06,1.0
864_20140506_29991231,864,2014-05-06,,0.0
865_20140101_29991231,865,2014-01-01,,0.0
866_20140101_29991231,866,2014-01-01,,0.0
867_20150101_29991231,867,2015-01-01,,0.0
868_20150101_29991231,868,2015-01-01,,0.0
869_20130101_29991231,869,2013-01-01,,0.0
870_20140101_29991231,870,2014-01-01,,0.0
871_20140101_29991231,871,2014-01-01,,0.0
872_20140101_29991231,872,2014-01-01,,0.0
873_20140101_29991231,873,2014-01-01,,0.0
874_20140101_29991231,874,2014-01-01,,0.0
875_20140101_29991231,875,2014-01-01,,0.0
876_20140101_29991231,876,2014-01-01,,0.0
877_20140101_29991231,877,2014-01-01,,0.0
878_20140101_29991231,878,2014-01-01,,0.0
879_20140101_29991231,879,2014-01-01,,0.0
880_20140101_29991231,880,2014-01-01,,0.0
881_20140101_29991231,881,2014-01-01,,0.0
882_20140101_20150203,882,2014-01-01,2015-02-03,1.0
882_20150203_20150403,882,2015-02-03,2015-04-03,1.0
882_20150403_29991231,882,2015-04-03,,0.0
883_20121124_29991231,883,2012-11-24,,0.0
884_20121124_29991231,884,2012-11-24,,0.0
885_20140201_20141213,885,2014-02-01,2014-12-13,1.0
885_20141213_20150201,885,2014-12-13,2015-02-01,1.0
885_20150201_29991231,885,2015-02-01,,0.0
886_20150101_29991231,886,2015-01-01,,0.0
887_20140101_29991231,887,2014-01-01,,0.0
888_20140101_29991231,888,2014-01-01,,0.0
889_20140101_29991231,889,2014-01-01,,0.0
890_20150101_29991231,890,2015-01-01,,0.0
891_20150101_29991231,891,2015-01-01,,0.0
892_20150101_29991231,892,2015-01-01,,0.0
893_20150101_29991231,893,2015-01-01,,0.0
894_20140101_20141002,894,2014-01-01,2014-10-02,1.0
894_20141002_29991231,894,2014-10-02,,0.0
895_20140101_20141002,895,2014-01-01,2014-10-02,1.0
895_20141002_29991231,895,2014-10-02,,0.0
896_20140101_20141002,896,2014-01-01,2014-10-02,1.0
896_20141002_20150101,896,2014-10-02,2015-01-01,1.0
896_20150101_29991231,896,2015-01-01,,0.0
897_20140101_20141002,897,2014-01-01,2014-10-02,1.0
897_20141002_20150101,897,2014-10-02,2015-01-01,1.0
897_20150101_29991231,897,2015-01-01,,0.0
898_20140101_20141002,898,2014-01-01,2014-10-02,1.0
898_20141002_20160101,898,2014-10-02,2016-01-01,1.0
898_20160101_29991231,898,2016-01-01,,0.0
899_20140101_20141002,899,2014-01-01,2014-10-02,1.0
729_20140101_29991231,729,2014-01-01,,0.0
730_20140101_20150101,730,2014-01-01,2015-01-01,1.0
730_20150101_29991231,730,2015-01-01,,0.0
731_20140101_20150101,731,2014-01-01,2015-01-01,1.0
731_20150101_29991231,731,2015-01-01,,0.0
732_20140101_20150101,732,2014-01-01,2015-01-01,1.0
732_20150101_29991231,732,2015-01-01,,0.0
733_20140101_20150101,733,2014-01-01,2015-01-01,1.0
733_20150101_29991231,733,2015-01-01,,0.0
734_20140101_29991231,734,2014-01-01,,0.0
735_20140101_29991231,735,2014-01-01,,0.0
736_20140101_29991231,736,2014-01-01,,0.0
737_20140101_29991231,737,2014-01-01,,0.0
738_20140101_20150101,738,2014-01-01,2015-01-01,1.0
738_20150101_29991231,738,2015-01-01,,0.0
739_20140101_20150101,739,2014-01-01,2015-01-01,1.0
739_20150101_29991231,739,2015-01-01,,0.0
740_20140101_20140401,740,2014-01-01,2014-04-01,1.0
740_20140401_29991231,740,2014-04-01,,0.0
741_20140101_20140401,741,2014-01-01,2014-04-01,1.0
741_20140401_29991231,741,2014-04-01,,0.0
742_20140101_20150101,742,2014-01-01,2015-01-01,1.0
742_20150101_29991231,742,2015-01-01,,0.0
743_20150101_29991231,743,2015-01-01,,0.0
744_20150313_29991231,744,2015-03-13,,0.0
745_20140101_20140701,745,2014-01-01,2014-07-01,1.0
745_20140701_29991231,745,2014-07-01,,0.0
746_20140101_29991231,746,2014-01-01,,0.0
747_20140101_29991231,747,2014-01-01,,0.0
748_20140101_29991231,748,2014-01-01,,0.0
749_20140101_29991231,749,2014-01-01,,0.0
750_20140101_29991231,750,2014-01-01,,0.0
751_20140101_29991231,751,2014-01-01,,0.0
752_20150101_29991231,752,2015-01-01,,0.0
753_20140101_20150101,753,2014-01-01,2015-01-01,1.0
753_20150101_29991231,753,2015-01-01,,0.0
754_20140101_29991231,754,2014-01-01,,0.0
755_20140101_29991231,755,2014-01-01,,0.0
756_20140101_20141002,756,2014-01-01,2014-10-02,1.0
756_20141002_29991231,756,2014-10-02,,0.0
757_20140101_29991231,757,2014-01-01,,0.0
758_20150101_29991231,758,2015-01-01,,0.0
759_20140101_20141002,759,2014-01-01,2014-10-02,1.0
759_20141002_29991231,759,2014-10-02,,0.0
760_20140101_29991231,760,2014-01-01,,0.0
761_20140101_29991231,761,2014-01-01,,0.0
762_20140101_29991231,762,2014-01-01,,0.0
763_20140101_29991231,763,2014-01-01,,0.0
764_20140101_29991231,764,2014-01-01,,0.0
765_20140101_29991231,765,2014-01-01,,0.0
766_20150401_29991231,766,2015-04-01,,0.0
767_20150401_29991231,767,2015-04-01,,0.0
768_20140101_29991231,768,2014-01-01,,0.0
769_20140101_29991231,769,2014-01-01,,0.0
770_20150327_29991231,770,2015-03-27,,0.0
771_20140101_29991231,771,2014-01-01,,0.0
772_20140101_29991231,772,2014-01-01,,0.0
773_20140101_29991231,773,2014-01-01,,0.0
774_20150327_29991231,774,2015-03-27,,0.0
775_20140101_29991231,775,2014-01-01,,0.0
776_20140101_29991231,776,2014-01-01,,0.0
777_20150101_29991231,777,2015-01-01,,0.0
778_20140201_29991231,778,2014-02-01,,0.0
779_20140101_20140702,779,2014-01-01,2014-07-02,1.0
779_20140702_29991231,779,2014-07-02,,0.0
780_20140101_29991231,780,2014-01-01,,0.0
781_20140101_20141002,781,2014-01-01,2014-10-02,1.0
781_20141002_29991231,781,2014-10-02,,0.0
782_20150330_29991231,782,2015-03-30,,0.0
783_20150330_29991231,783,2015-03-30,,0.0
784_20150331_29991231,784,2015-03-31,,0.0
785_20150330_29991231,785,2015-03-30,,0.0
786_20150330_29991231,786,2015-03-30,,0.0
