CONTRACT_KEY,EMP_CODE,CONTRACT_START_DATE,CONTRACT_END_DATE,PAID_HOURS,QUALIFDESCRIPTION
521_20090101_20160214,521,2015-01-01,2016-02-14,100.0,administrateur
521_20150102_20160214,521,2015-01-01,2016-02-14,100.0,agent administratif
521_20150101_20160214,521,2015-01-01,2016-02-14,100.0,agent administratif
521_20090101_20160214,521,2015-01-01,2016-02-14,100.0,agent administratif
1301_20150101_20160214,1301,2015-01-01,2016-02-14,100.0,administrateur
1301_20141001_20160214,1301,2015-01-01,2016-02-14,100.0,administrateur
1301_20150101_20160214,1301,2015-01-01,2016-02-14,100.0,agent administratif
1301_20141001_20160214,1301,2015-01-01,2016-02-14,100.0,agent administratif
1302_20150101_20160214,1302,2015-01-01,2016-02-14,100.0,administrateur
1302_20141001_20160214,1302,2015-01-01,2016-02-14,100.0,administrateur
1302_20150101_20160214,1302,2015-01-01,2016-02-14,100.0,agent administratif
1302_20141001_20160214,1302,2015-01-01,2016-02-14,100.0,agent administratif
3941_20150101_20160221,3941,2015-01-01,2016-02-21,100.0,employé
3315_20150801_20150731,3315,2015-07-01,2015-07-31,100.0,employé
3315_20150701_20150731,3315,2015-07-01,2015-07-31,100.0,employé
3315_20150801_20160301,3315,2015-08-01,2016-03-01,50.0,employé
3315_20150701_20160301,3315,2015-08-01,2016-03-01,50.0,employé
3315_20150801_29991231,3315,2015-08-01,,50.0,employé
3315_20150701_29991231,3315,2015-08-01,,50.0,employé
3316_20120401_20160301,3316,2012-04-01,2016-03-01,100.0,employé
4021_20150101_29991231,4021,2015-01-01,,100.0,etudiant mensuel
3359_20130401_20160301,3359,2013-04-01,2016-03-01,100.0,employé
3360_20150701_20160301,3360,2015-07-01,2016-03-01,100.0,employé
3361_20150701_20150702,3361,2015-07-01,2015-07-02,100.0,etudiant mensuel
3361_20150701_20150827,3361,2015-08-23,2015-08-27,100.0,etudiant mensuel
3362_20150701_20150702,3362,2015-07-01,2015-07-02,50.0,etudiant mensuel
3362_20150701_20150825,3362,2015-08-23,2015-08-25,50.0,etudiant mensuel
3363_20150701_20160301,3363,2015-07-01,2016-03-01,100.0,employé
3393_20120401_20160301,3393,2012-04-01,2016-03-01,50.0,employé
3394_20120401_20160301,3394,2012-04-01,2016-03-01,50.0,employé
3641_20150101_29991231,3641,2015-01-01,,100.0,employé
3661_20150101_29991231,3661,2015-01-01,,100.0,employé
3922_20160101_20160430,3922,2015-01-01,2016-04-30,100.0,etudiant mensuel
3922_20150101_20160430,3922,2015-01-01,2016-04-30,100.0,etudiant mensuel
4061_20150101_29991231,4061,2015-01-01,,100.0,employé
3342_20150802_29991231,3342,2015-08-02,,100.0,employé
3342_20120401_29991231,3342,2015-08-02,,100.0,employé
4401_20150101_20160301,4401,2015-01-01,2016-03-01,100.0,employé
4422_20150101_20160301,4422,2015-01-01,2016-03-01,100.0,employé
4861_20150101_20150731,4861,2015-01-01,2015-07-31,100.0,employé
5221_20150101_20180531,5221,2015-01-01,2018-05-31,100.0,employé
5221_20150101_20180531,5221,2015-01-01,2018-05-31,100.0,employé
3313_20140401_20140430,3313,2014-04-01,2014-04-30,100.0,etudiant mensuel
3313_20140401_20150731,3313,2015-07-25,2015-07-31,100.0,etudiant mensuel
3313_20140401_20150930,3313,2015-09-25,2015-09-30,100.0,etudiant mensuel
3314_20150716_20160301,3314,2014-04-01,2016-03-01,30.0,employé
3314_20140401_20160301,3314,2014-04-01,2016-03-01,30.0,employé
3314_20140401_20160301,3314,2014-04-01,2016-03-01,30.0,employé
3314_20140401_20160301,3314,2014-04-01,2016-03-01,30.0,employé
3314_20150716_29991231,3314,2014-04-01,,50.0,employé
3314_20140401_29991231,3314,2014-04-01,,50.0,employé
3314_20140401_29991231,3314,2014-04-01,,50.0,employé
3314_20140401_29991231,3314,2014-04-01,,50.0,employé
3314_20150716_20150715,3314,2014-04-01,2015-07-15,20.0,employé
3314_20140401_20150715,3314,2014-04-01,2015-07-15,20.0,employé
3314_20140401_20150715,3314,2014-04-01,2015-07-15,20.0,employé
3314_20140401_20150715,3314,2014-04-01,2015-07-15,20.0,employé
3314_20150716_29991231,3314,2015-07-16,,20.0,employé
3314_20140401_29991231,3314,2015-07-16,,20.0,employé
3314_20140401_29991231,3314,2015-07-16,,20.0,employé
3314_20140401_29991231,3314,2015-07-16,,20.0,employé
3317_20120401_20160301,3317,2012-04-01,2016-03-01,100.0,employé
3318_20120401_20160301,3318,2012-04-01,2016-03-01,100.0,employé
3319_20130401_20161229,3319,2013-04-01,2016-12-29,100.0,employé
3320_20130401_20160301,3320,2013-04-01,2016-03-01,100.0,employé
3321_20130401_20160218,3321,2013-04-01,2016-02-18,100.0,employé
3322_20130401_20160301,3322,2013-04-01,2016-03-01,100.0,employé
3323_20130401_20150630,3323,2013-04-01,2015-06-30,100.0,employé
3323_20130401_20160301,3323,2015-07-01,2016-03-01,50.0,employé
3324_20161130_20150814,3324,2013-04-01,2015-08-14,100.0,employé
3324_20130401_20150814,3324,2013-04-01,2015-08-14,100.0,employé
3324_20161130_20160301,3324,2015-08-15,2016-03-01,50.0,employé
3324_20130401_20160301,3324,2015-08-15,2016-03-01,50.0,employé
3325_20120401_20160301,3325,2012-04-01,2016-03-01,50.0,employé
3371_20150701_20160301,3371,2015-07-01,2016-03-01,100.0,employé
3372_20120401_20160301,3372,2012-04-01,2016-03-01,100.0,prépensionné
3373_20120401_20150714,3373,2012-04-01,2015-07-14,100.0,employé
3374_20150401_20150630,3374,2015-04-01,2015-06-30,100.0,employé
5281_20150101_29991231,5281,2015-01-01,,100.0,employé
5282_20150101_29991231,5282,2015-01-01,,100.0,ouvrier mensuel
5222_20150101_20150331,5222,2015-01-01,2015-03-31,100.0,employé
5222_20150101_20150331,5222,2015-01-01,2015-03-31,100.0,employé
5223_20150101_20150331,5223,2015-01-01,2015-03-31,50.0,ouvrier mensuel
5283_20150101_29991231,5283,2015-01-01,,100.0,employé
61301_20180101_29991231,61301,2018-01-01,,100.0,employé
1481_20150101_29991231,1481,2015-01-01,,100.0,employé
1501_20150101_29991231,1501,2015-01-01,,100.0,employé
1501_20150101_29991231,1501,2015-01-01,,100.0,employé
2301_20150101_20160223,2301,2015-01-01,2016-02-23,100.0,employé
2301_20150101_20160223,2301,2015-01-01,2016-02-23,100.0,employé
2602_20140101_29991231,2602,2014-01-01,,50.0,employé
2602_20140101_29991231,2602,2014-01-01,,50.0,employé
2801_20150101_20150501,2801,2015-01-01,2015-05-01,100.0,administrateur
2801_20150101_20150501,2801,2015-01-01,2015-05-01,100.0,agent administratif
2841_20150113_20160303,2841,2015-01-11,2016-03-03,100.0,administrateur
2841_20150111_20160303,2841,2015-01-11,2016-03-03,100.0,administrateur
2841_20150113_20160303,2841,2015-01-11,2016-03-03,100.0,agent administratif
2841_20150111_20160303,2841,2015-01-11,2016-03-03,100.0,agent administratif
3102_20150101_29991231,3102,2015-01-01,,100.0,employé
182_20150904_29991231,182,2015-09-04,,100.0,employé
3345_20130401_20150717,3345,2013-04-01,2015-07-17,100.0,employé
3345_20130401_20150918,3345,2015-07-18,2015-09-18,80.0,employé
3345_20130401_20160301,3345,2015-09-19,2016-03-01,100.0,employé
3364_20150701_20160301,3364,2015-07-01,2016-03-01,100.0,employé
3365_20150701_20160301,3365,2015-07-01,2016-03-01,100.0,employé
3366_20150701_20160605,3366,2015-07-01,2016-06-05,100.0,employé
3367_20150701_20160301,3367,2015-07-01,2016-03-01,100.0,employé
3368_20150701_20161229,3368,2015-07-01,2016-12-29,100.0,employé
3369_20150701_20160301,3369,2015-07-01,2016-03-01,100.0,employé
3370_20150701_20160301,3370,2015-07-01,2016-03-01,100.0,employé
3311_20140401_20150831,3311,2014-04-01,2015-08-31,100.0,employé
3311_20140401_20160301,3311,2015-09-01,2016-03-01,80.0,employé
3312_20140401_20150828,3312,2014-04-01,2015-08-28,100.0,employé
3312_20140401_20160301,3312,2015-09-01,2016-03-01,80.0,employé
6415_20151001_20151020,6415,2015-10-01,2015-10-20,100.0,ouvrier mensuel
6415_20151001_20160301,6415,2015-10-21,2016-03-01,100.0,ouvrier mensuel
6416_20151001_20160301,6416,2015-10-01,2016-03-01,100.0,employé
6417_20151001_20160301,6417,2015-10-01,2016-03-01,100.0,employé
6418_20151001_20160301,6418,2015-10-01,2016-03-01,100.0,employé
6419_20151001_20160301,6419,2015-10-01,2016-03-01,100.0,employé
6420_20120701_20160301,6420,2012-07-01,2016-03-01,100.0,prépensionné
6421_20120701_20151014,6421,2012-07-01,2015-10-14,100.0,employé
6421_20120701_20160301,6421,2015-10-15,2016-03-01,100.0,prépensionné
6422_20120701_20160301,6422,2012-07-01,2016-03-01,50.0,employé
6423_20120701_20160301,6423,2012-07-01,2016-03-01,50.0,employé
6441_20140701_20160301,6441,2014-07-01,2016-03-01,100.0,employé
6442_20120701_20150805,6442,2012-07-01,2015-08-05,100.0,employé
6443_20151101_20151128,6443,2015-11-01,2015-11-28,100.0,employé
6581_20150701_20160301,6581,2015-07-01,2016-03-01,100.0,employé
6624_20100101_20151130,6624,2010-01-01,2015-11-30,100.0,employé
6801_20150101_29991231,6801,2015-01-01,,100.0,ouvrier mensuel
7041_20140101_20160214,7041,2014-01-01,2016-02-14,100.0,employé
6862_20151101_29991231,6862,2015-11-01,,100.0,employé
7302_20150101_20160214,7302,2015-01-01,2016-02-14,100.0,employé
8001_20150101_20150130,8001,2015-01-01,2015-01-30,100.0,employé
7421_20100101_20160214,7421,2012-01-01,2016-02-14,100.0,employé
8121_20150101_20160214,8121,2015-01-01,2016-02-14,100.0,employé
7421_20100101_20111231,7421,2010-01-01,2011-12-31,100.0,employé
7581_20150101_20150215,7581,2015-01-01,2015-02-15,100.0,employé
7601_20150901_20160214,7601,2015-09-01,2016-02-14,100.0,employé
7621_20150803_20160214,7621,2015-08-03,2016-02-14,100.0,employé
8141_20150101_20160214,8141,2015-01-01,2016-02-14,100.0,employé
8201_20150101_20160214,8201,2015-01-01,2016-02-14,100.0,employé
611_20150909_20150908,611,2014-09-16,2015-09-08,100.0,apprenti cadre
611_20150909_20150908,611,2014-09-16,2015-09-08,100.0,apprenti cadre
611_20140916_20150908,611,2014-09-16,2015-09-08,100.0,apprenti cadre
13151_20121001_20160630,13151,2016-01-01,2016-06-30,100.0,prépensionné
13167_20121001_29991231,13167,2016-01-15,,100.0,prépensionné
15102_20140101_29991231,15102,2014-01-01,,100.0,employé
13160_20121001_20160131,13160,2016-01-10,2016-01-31,50.0,employé
13165_20131001_29991231,13165,2016-01-30,,50.0,employé
6371_20130701_20220701,6371,2016-03-09,2022-07-01,100.0,employé
6378_20130701_29991231,6378,2016-03-25,,100.0,employé
3321_20130401_20161229,3321,2016-02-19,2016-12-29,100.0,employé
9441_20150101_20150331,9441,2015-01-01,2015-03-31,100.0,employé
3366_20150701_20161229,3366,2016-06-06,2016-12-29,100.0,prépensionné
9901_20150601_20160214,9901,2015-06-01,2016-02-14,100.0,cadre catégorie a
9901_20150601_20160214,9901,2015-06-01,2016-02-14,100.0,cadre catégorie a
15521_20160101_29991231,15521,2016-01-01,,100.0,ouvrier mensuel
4601_20150201_20160214,4601,2015-02-01,2016-02-14,100.0,cadre catégorie a
4682_20150201_20160214,4682,2015-02-01,2016-02-14,100.0,cadre catégorie a
4781_20150101_20160214,4781,2015-01-01,2016-02-14,100.0,cadre catégorie a
4821_20140101_20160214,4821,2014-01-01,2016-02-14,100.0,cadre catégorie a
4881_20150101_20160214,4881,2015-01-01,2016-02-14,100.0,cadre catégorie a
5461_20120101_20160214,5461,2012-01-01,2016-02-14,100.0,cadre catégorie a
5481_20151010_20160214,5481,2015-10-10,2016-02-14,100.0,administrateur
5481_20150101_20160214,5481,2015-10-10,2016-02-14,100.0,administrateur
5481_20151010_20160214,5481,2015-10-10,2016-02-14,100.0,agent administratif
5481_20150101_20160214,5481,2015-10-10,2016-02-14,100.0,agent administratif
5404_20160401_29991231,5404,2016-04-01,,100.0,cadre catégorie a
5404_20150101_29991231,5404,2016-04-01,,100.0,cadre catégorie a
5403_20150101_20160214,5403,2015-01-01,2016-02-14,100.0,administrateur
5403_20150101_20160214,5403,2015-01-01,2016-02-14,100.0,agent administratif
5405_20160101_20160214,5405,2016-01-01,2016-02-14,100.0,cadre catégorie a
5405_20150301_20160214,5405,2016-01-01,2016-02-14,100.0,cadre catégorie a
5441_20160101_20160214,5441,2016-01-01,2016-02-14,100.0,administrateur
5441_20160101_20160214,5441,2016-01-01,2016-02-14,100.0,agent administratif
5181_20141001_20160214,5181,2014-10-01,2016-02-14,100.0,cadre catégorie a
5224_20141001_20160214,5224,2014-10-01,2016-02-14,100.0,administrateur
5224_20141001_20160214,5224,2014-10-01,2016-02-14,100.0,agent administratif
5225_20230106_20160214,5225,2014-10-01,2016-02-14,100.0,administrateur
5225_20141001_20160214,5225,2014-10-01,2016-02-14,100.0,administrateur
5225_20230106_20160214,5225,2014-10-01,2016-02-14,100.0,agent administratif
5225_20141001_20160214,5225,2014-10-01,2016-02-14,100.0,agent administratif
5402_20150101_20160214,5402,2015-01-01,2016-02-14,100.0,cadre catégorie a
5522_20151011_20160214,5522,2015-10-11,2016-02-14,100.0,cadre catégorie a
5522_20150101_20160214,5522,2015-10-11,2016-02-14,100.0,cadre catégorie a
5562_20151011_20160214,5562,2015-10-11,2016-02-14,100.0,cadre catégorie a
5562_20150101_20160214,5562,2015-10-11,2016-02-14,100.0,cadre catégorie a
8242_20150101_20160214,8242,2015-01-01,2016-02-14,100.0,administrateur
8242_20150101_20160214,8242,2015-01-01,2016-02-14,100.0,agent administratif
8721_20151201_20160214,8721,2015-12-01,2016-02-14,100.0,cadre catégorie a
8761_20130101_20160214,8761,2013-01-01,2016-02-14,100.0,cadre catégorie a
8941_20150101_20160214,8941,2015-01-01,2016-02-14,100.0,cadre catégorie a
8961_20140101_20160214,8961,2014-01-01,2016-02-14,100.0,cadre catégorie a
832_20150101_20160214,832,2015-01-01,2016-02-14,100.0,agent de maîtrise d'atelier
928_20150314_20160214,928,2015-03-14,2016-02-14,100.0,cadre catégorie a
928_20140101_20160214,928,2015-03-14,2016-02-14,100.0,cadre catégorie a
929_20150101_20160214,929,2015-01-01,2016-02-14,100.0,cadre catégorie a
929_20140101_20160214,929,2015-01-01,2016-02-14,100.0,cadre catégorie a
1283_20141001_20160214,1283,2014-10-01,2016-02-14,100.0,administrateur
1283_20141001_20160214,1283,2014-10-01,2016-02-14,100.0,agent administratif
922_20150201_20160214,922,2015-02-01,2016-02-14,100.0,cadre catégorie a
922_20140101_20160214,922,2015-02-01,2016-02-14,100.0,cadre catégorie a
923_20150101_20160214,923,2015-01-01,2016-02-14,100.0,cadre catégorie a
923_20140101_20160214,923,2015-01-01,2016-02-14,100.0,cadre catégorie a
924_20150101_20160214,924,2015-01-01,2016-02-14,100.0,cadre catégorie a
924_20140101_20160214,924,2015-01-01,2016-02-14,100.0,cadre catégorie a
925_20140101_20160214,925,2014-01-01,2016-02-14,100.0,apprenti non cadre
6462_20140701_20160301,6462,2014-07-01,2016-03-01,100.0,employé
6561_20150701_20160301,6561,2015-07-01,2016-03-01,100.0,employé
6601_20120701_20151031,6601,2012-07-01,2015-10-31,100.0,employé
1502_20160101_20150201,1502,2015-01-01,2015-02-01,100.0,employé
1502_20150101_20150201,1502,2015-01-01,2015-02-01,100.0,employé
1502_20150101_20150201,1502,2015-01-01,2015-02-01,100.0,employé
11341_20160101_20160214,11341,2015-09-01,2016-02-14,100.0,ouvrier mensuel
11341_20150901_20160214,11341,2015-09-01,2016-02-14,100.0,ouvrier mensuel
1502_20160101_20161231,1502,2015-01-01,2016-12-31,100.0,employé
1502_20150101_20161231,1502,2015-01-01,2016-12-31,100.0,employé
1502_20150101_20161231,1502,2015-01-01,2016-12-31,100.0,employé
11361_20150901_20160214,11361,2015-09-01,2016-02-14,100.0,ouvrier mensuel
926_20150101_20160214,926,2015-01-01,2016-02-14,100.0,cadre catégorie a
926_20140101_20160214,926,2015-01-01,2016-02-14,100.0,cadre catégorie a
927_20150221_20160214,927,2015-02-21,2016-02-14,100.0,cadre catégorie a
927_20140301_20160214,927,2015-02-21,2016-02-14,100.0,cadre catégorie a
911_20140101_20160214,911,2014-01-01,2016-02-14,100.0,administrateur
911_20140101_20160214,911,2014-01-01,2016-02-14,100.0,agent administratif
912_20150101_20160214,912,2015-01-01,2016-02-14,100.0,cadre catégorie a
913_20150101_20160214,913,2015-01-01,2016-02-14,100.0,cadre catégorie a
892_20150101_20160214,892,2015-01-01,2016-02-14,100.0,apprenti non cadre
893_20150101_20160214,893,2015-01-01,2016-02-14,100.0,apprenti cadre
826_20150401_20160214,826,2015-04-01,2016-02-14,100.0,cadre catégorie a
827_20150401_20160214,827,2015-04-01,2016-02-14,100.0,cadre catégorie a
828_20150401_20160214,828,2015-04-01,2016-02-14,100.0,cadre catégorie a
830_20150401_20160214,830,2015-04-01,2016-02-14,100.0,cadre catégorie a
822_20150401_20160214,822,2015-04-01,2016-02-14,100.0,cadre catégorie a
823_20150401_20160214,823,2015-04-01,2016-02-14,100.0,cadre catégorie a
824_20150401_20160214,824,2015-04-01,2016-02-14,100.0,cadre catégorie a
825_20150401_20160214,825,2015-04-01,2016-02-14,100.0,cadre catégorie a
820_20150401_20160214,820,2015-04-01,2016-02-14,100.0,cadre catégorie a
821_20150401_20160214,821,2015-04-01,2016-02-14,100.0,cadre catégorie a
808_20150101_20160214,808,2015-01-01,2016-02-14,100.0,cadre catégorie a
6101_20150101_29991231,6101,2015-01-01,,100.0,ouvrier mensuel
9461_20150504_20160214,9461,2015-05-04,2016-02-14,100.0,employé
9461_20150101_20160214,9461,2015-05-04,2016-02-14,100.0,employé
9461_20150504_20150331,9461,2015-01-01,2015-03-31,100.0,employé
9461_20150101_20150331,9461,2015-01-01,2015-03-31,100.0,employé
2301_20150101_20160221,2301,2015-01-01,2016-02-21,100.0,employé
2301_20150101_20160221,2301,2015-01-01,2016-02-21,100.0,employé
799_20150101_20160214,799,2015-01-01,2016-02-14,100.0,cadre catégorie a
633_20140101_20160214,633,2014-01-01,2016-02-14,100.0,cadre catégorie a
800_20150101_20160214,800,2015-01-01,2016-02-14,100.0,cadre catégorie a
802_20150101_20160214,802,2015-01-01,2016-02-14,100.0,cadre catégorie a
804_20140101_20160214,804,2014-01-01,2016-02-14,100.0,cadre catégorie a
634_20130202_20160214,634,2013-02-02,2016-02-14,100.0,cadre catégorie a
11461_20150901_20160214,11461,2015-09-01,2016-02-14,100.0,ouvrier mensuel
11481_20150901_20160214,11481,2015-09-01,2016-02-14,100.0,ouvrier mensuel
526_20120101_20160214,526,2012-01-01,2016-02-14,100.0,administrateur
526_20120101_20160214,526,2012-01-01,2016-02-14,100.0,agent administratif
529_20120115_20160214,529,2012-01-15,2016-02-14,100.0,administrateur
529_20120115_20160214,529,2012-01-15,2016-02-14,100.0,agent administratif
596_20140101_20160214,596,2014-01-01,2016-02-14,100.0,cadre catégorie a
606_20141012_20141011,606,2014-09-12,2014-10-11,100.0,saisonnier
606_20140912_20141011,606,2014-09-12,2014-10-11,100.0,saisonnier
609_20140916_20160216,609,2014-09-16,2016-02-16,100.0,apprenti cadre
610_20140916_20160216,610,2014-09-16,2016-02-16,100.0,apprenti cadre
630_20141006_20160216,630,2014-10-06,2016-02-16,100.0,apprenti cadre
10761_20140101_20160214,10761,2014-01-01,2016-02-14,100.0,cadre catégorie a
10781_20140101_20160224,10781,2014-01-01,2016-02-24,100.0,cadre catégorie a
10881_20140220_20160224,10881,2014-02-20,2016-02-24,100.0,cadre catégorie a
10881_20140101_20160224,10881,2014-02-20,2016-02-24,100.0,cadre catégorie a
10981_20150101_20160214,10981,2015-01-01,2016-02-14,100.0,administrateur
10981_20150101_20160214,10981,2015-01-01,2016-02-14,100.0,agent administratif
6341_20140701_20160301,6341,2014-07-01,2016-03-01,100.0,employé
6361_20140701_20160301,6361,2014-07-01,2016-03-01,100.0,employé
6362_20140701_29991231,6362,2014-07-01,,100.0,employé
6363_20140701_20141130,6363,2014-07-01,2014-11-30,100.0,employé
6363_20140701_20160301,6363,2015-11-01,2016-03-01,80.0,employé
6364_20140701_20151128,6364,2014-07-01,2015-11-28,100.0,employé
6364_20140701_20160301,6364,2015-12-01,2016-03-01,80.0,employé
6365_20140701_20140730,6365,2014-07-01,2014-07-30,100.0,etudiant mensuel
6365_20140701_20151031,6365,2015-10-25,2015-10-31,100.0,etudiant mensuel
6365_20140701_20151230,6365,2015-12-25,2015-12-30,100.0,etudiant mensuel
6366_20151016_20160301,6366,2014-07-01,2016-03-01,30.0,employé
6366_20140701_20160301,6366,2014-07-01,2016-03-01,30.0,employé
6366_20140701_20160301,6366,2014-07-01,2016-03-01,30.0,employé
6366_20140701_20160301,6366,2014-07-01,2016-03-01,30.0,employé
6366_20151016_29991231,6366,2014-07-01,,50.0,employé
6366_20140701_29991231,6366,2014-07-01,,50.0,employé
6366_20140701_29991231,6366,2014-07-01,,50.0,employé
6366_20140701_29991231,6366,2014-07-01,,50.0,employé
6366_20151016_20151015,6366,2014-07-01,2015-10-15,20.0,employé
6366_20140701_20151015,6366,2014-07-01,2015-10-15,20.0,employé
6366_20140701_20151015,6366,2014-07-01,2015-10-15,20.0,employé
6366_20140701_20151015,6366,2014-07-01,2015-10-15,20.0,employé
6366_20151016_29991231,6366,2015-10-16,,20.0,employé
6366_20140701_29991231,6366,2015-10-16,,20.0,employé
6366_20140701_29991231,6366,2015-10-16,,20.0,employé
6366_20140701_29991231,6366,2015-10-16,,20.0,employé
6367_20151101_20151031,6367,2015-10-01,2015-10-31,100.0,employé
6367_20151001_20151031,6367,2015-10-01,2015-10-31,100.0,employé
6367_20151101_20160301,6367,2015-11-01,2016-03-01,50.0,employé
6367_20151001_20160301,6367,2015-11-01,2016-03-01,50.0,employé
6367_20151101_29991231,6367,2015-11-01,,50.0,employé
6367_20151001_29991231,6367,2015-11-01,,50.0,employé
6368_20120701_20160301,6368,2012-07-01,2016-03-01,100.0,employé
6369_20120701_20160301,6369,2012-07-01,2016-03-01,100.0,employé
6370_20120701_29991231,6370,2012-07-01,,100.0,employé
6371_20130701_20160301,6371,2013-07-01,2016-03-01,100.0,employé
6372_20130701_29991231,6372,2013-07-01,,100.0,employé
6373_20130701_20160301,6373,2013-07-01,2016-03-01,100.0,employé
6374_20130701_29991231,6374,2013-07-01,,100.0,employé
6375_20130701_20150930,6375,2013-07-01,2015-09-30,100.0,employé
6375_20130701_20160301,6375,2015-10-01,2016-03-01,50.0,employé
6376_20130701_29991231,6376,2013-07-01,,100.0,employé
6377_20120701_20160301,6377,2012-07-01,2016-03-01,50.0,employé
6378_20130701_20151017,6378,2013-07-01,2015-10-17,100.0,employé
6378_20130701_20151218,6378,2015-10-18,2015-12-18,80.0,employé
6378_20130701_20160301,6378,2015-12-19,2016-03-01,100.0,employé
6379_20120701_20150930,6379,2012-07-01,2015-09-30,50.0,employé
6379_20120701_20160301,6379,2015-10-01,2016-03-01,100.0,employé
6380_20130701_20151001,6380,2013-07-01,2015-10-01,50.0,employé
6380_20130701_20160301,6380,2015-10-02,2016-03-01,100.0,employé
6381_20130701_20160301,6381,2013-07-01,2016-03-01,50.0,employé
6382_20120701_20160301,6382,2012-07-01,2016-03-01,100.0,employé
6383_20120701_20160301,6383,2012-07-01,2016-03-01,100.0,employé
6384_20150101_20160301,6384,2015-01-01,2016-03-01,100.0,etudiant mensuel
6385_20120701_20160301,6385,2012-07-01,2016-03-01,100.0,employé
6386_20130701_20160301,6386,2013-07-01,2016-03-01,100.0,employé
6387_20150101_20160301,6387,2015-01-01,2016-03-01,100.0,etudiant mensuel
6388_20130701_20151118,6388,2013-07-01,2015-11-18,100.0,employé
6388_20130701_20151126,6388,2015-11-19,2015-11-26,80.0,employé
