POSITION,PROMOTION,ASSIGNMENTs,SALARY,SENIORITY_YEARS,GENDER,ABSENCES,TURNOVER
retail,0,3,medium,6.0,0,182.8069532627777,no
marketing,0,3,medium,6.0,0,182.64782979080908,no
retail,0,2,low,5.0,0,181.13701976714384,no
admin,0,2,medium,5.0,0,181.0722025103632,no
operations,0,4,high,5.0,0,179.47539914911627,no
logistics,0,4,medium,6.0,0,183.63524036817552,no
logistics,0,3,medium,5.0,0,179.6596715009699,no
retail,0,3,medium,4.0,0,177.1767215963909,no
retail,0,3,medium,6.0,0,181.6609985050728,no
operations,0,2,medium,5.0,0,180.8653965363533,no
retail,0,2,medium,5.0,0,180.4799197243028,no
retail,1,3,medium,6.0,0,183.8629896005716,no
retail,0,3,high,6.0,0,183.8701067548645,no
support,0,4,medium,5.0,0,179.33470426497263,no
sales,0,3,medium,6.0,0,182.96582796721447,no
engineering,0,3,high,7.0,0,185.5802785346765,no
sales,0,3,medium,5.0,0,180.50598862460205,no
engineering,0,4,medium,6.0,0,181.8156661929013,no
engineering,0,3,high,5.0,1,180.6046793443288,no
marketing,0,4,medium,4.0,0,176.39182908794504,no
operations,0,3,medium,6.0,0,181.76893199246763,no
logistics,0,3,medium,6.0,1,182.00493314621977,no
finance,0,3,medium,5.0,0,180.4135382099581,no
finance,0,3,medium,5.0,0,179.3499385933117,no
support,0,2,medium,6.0,0,182.533860265656,no
sales,0,3,medium,5.0,0,180.7019945608012,no
IT,0,3,medium,5.0,0,179.1963728990641,no
retail,0,3,medium,7.0,0,184.65708988961177,no
IT,0,4,medium,7.0,0,185.27077384706263,no
operations,0,3,low,6.0,1,182.01750711487549,no
operations,0,3,medium,7.0,0,186.34103287170453,no
retail,0,3,medium,4.0,1,177.19597951518142,no
sales,0,3,medium,5.0,0,181.44965336043705,no
operations,0,4,medium,5.0,0,179.95661251319353,no
operations,0,3,medium,6.0,0,181.66839987775663,no
sales,1,3,high,6.0,0,183.18107728764235,no
engineering,0,3,medium,7.0,1,185.5264040634716,no
retail,0,4,medium,6.0,0,182.1608226257992,no
retail,0,4,medium,6.0,0,182.66450719384983,no
engineering,0,3,medium,5.0,0,179.462400263686,no
IT,0,4,high,6.0,1,183.508502164827,no
sales,0,2,medium,5.0,0,178.83567818059066,no
retail,1,3,medium,5.0,0,180.14097757354818,no
sales,0,3,low,6.0,0,182.84839461353943,no
sales,0,4,medium,6.0,0,183.19401727712165,no
retail,0,3,medium,7.0,0,186.58554273178063,no
IT,0,3,low,6.0,0,182.4243531843861,no
sales,0,3,medium,5.0,1,181.1064835367769,no
operations,0,4,medium,6.0,1,182.72864806868773,no
support,0,3,medium,5.0,1,180.953004543328,no
retail,0,3,medium,6.0,0,183.7588350503389,no
engineering,0,3,medium,6.0,0,183.7053526557901,no
support,0,3,low,5.0,0,179.71351379439196,no
operations,0,4,high,6.0,0,182.79266613097263,no
retail,0,3,medium,4.0,0,177.36036592875126,no
operations,0,3,high,6.0,0,183.964569091586,no
marketing,0,4,medium,5.0,0,180.48982354572053,no
support,0,4,low,5.0,0,179.92355547002072,no
operations,0,3,high,6.0,1,183.0005458363713,no
sales,0,4,medium,5.0,0,180.28406295630603,no
engineering,0,4,high,5.0,0,179.69067568506733,no
finance,0,4,high,6.0,0,181.62333550918385,no
engineering,1,3,medium,6.0,0,182.44634669606305,no
support,0,3,medium,6.0,0,181.7830031051909,no
marketing,0,3,medium,6.0,0,183.98431795270685,no
marketing,0,4,high,5.0,0,181.0462526822074,no
sales,0,3,low,4.0,0,178.23842533925904,no
retail,0,4,low,6.0,0,183.17681873199177,no
operations,0,2,medium,7.0,1,185.2204210811392,no
marketing,0,3,medium,6.0,0,182.6926245511412,no
engineering,0,4,medium,5.0,0,181.0345585944719,no
engineering,0,2,medium,6.0,0,182.2017805911161,no
operations,0,3,medium,6.0,0,182.52457133951225,no
operations,0,4,low,6.0,0,182.3088848960322,no
engineering,0,3,medium,7.0,0,184.7135977374504,no
operations,0,3,medium,5.0,0,178.98139161714414,no
engineering,0,3,medium,5.0,0,181.4374982172748,no
engineering,0,3,medium,7.0,0,185.4152180459565,no
marketing,0,3,low,6.0,0,184.367714590566,no
marketing,0,3,high,6.0,0,182.42243362149804,no
finance,0,3,medium,6.0,0,182.12083165165745,no
retail,0,4,medium,6.0,0,182.41474026667763,no
sales,0,3,medium,4.0,0,178.4584890131655,no
engineering,1,4,medium,5.0,1,178.68863704770325,no
IT,0,3,medium,6.0,0,182.8291662180755,no
sales,0,2,low,5.0,1,179.02156725749342,no
engineering,0,4,medium,4.0,0,177.29126771983087,no
sales,0,3,high,5.0,0,180.64865326347643,no
marketing,0,3,medium,5.0,1,179.57010417146483,no
retail,0,4,high,7.0,0,184.99842064168624,no
operations,0,4,medium,7.0,1,186.9994471576348,no
IT,0,4,medium,7.0,0,185.7314201629932,no
sales,0,3,medium,5.0,0,179.36569429792863,no
retail,0,4,medium,6.0,0,181.8215067887921,no
sales,0,4,low,5.0,1,180.7511205562983,no
retail,0,3,medium,6.0,0,181.9896078161881,no
engineering,0,3,low,6.0,1,182.1162281126912,no
engineering,0,3,medium,5.0,0,181.1255503461172,no
engineering,0,3,medium,6.0,0,183.1593139965932,no
sales,0,3,medium,5.0,0,180.2585048155267,no
marketing,0,3,medium,5.0,0,180.0277616746372,no
admin,0,5,medium,6.0,0,181.6299336114861,no
support,0,4,medium,5.0,0,180.12602350848312,no
support,0,4,high,5.0,0,180.67485720550744,no
retail,0,3,medium,4.0,0,178.4735397836865,no
sales,0,3,high,6.0,0,184.1126309149484,no
operations,0,3,medium,6.0,1,182.05629275326265,no
engineering,0,4,medium,5.0,0,181.3189071319002,no
operations,1,3,medium,6.0,0,183.2173087661708,no
sales,0,4,medium,5.0,0,179.54426175086147,no
retail,0,3,low,7.0,0,184.56734456361025,no
finance,0,5,medium,7.0,0,184.9995687200635,no
marketing,0,3,medium,6.0,1,183.2684784502775,no
operations,0,3,medium,6.0,1,181.58405918239325,no
operations,0,4,medium,7.0,0,187.16907666180705,no
sales,0,3,high,5.0,0,180.4629719674944,no
retail,0,4,low,6.0,1,183.11638231738715,no
support,0,3,medium,7.0,0,187.0387988597774,no
support,0,2,low,5.0,0,180.78231576146888,no
sales,0,4,medium,6.0,1,181.8137624664932,no
support,0,4,medium,5.0,0,178.52408093087922,no
support,0,3,medium,6.0,0,183.805986313198,no
sales,0,3,low,5.0,0,181.09296276727355,no
sales,0,3,medium,7.0,0,185.1711680443262,no
marketing,0,3,low,4.0,0,178.49561604680258,no
finance,0,3,medium,6.0,0,182.9209835893413,no
marketing,0,4,medium,5.0,0,181.4575126183475,no
support,0,3,medium,5.0,1,179.53511702589032,no
logistics,0,3,medium,5.0,1,179.00701021205245,no
IT,0,3,medium,4.0,0,178.12321819890107,no
operations,0,3,medium,5.0,1,180.26299791409173,no
retail,0,3,medium,4.0,0,176.78320364285008,no
retail,0,2,high,3.0,0,174.46663562535278,no
operations,0,3,medium,5.0,0,181.2354820235716,no
retail,0,3,medium,5.0,0,179.39705550514432,no
admin,0,3,medium,6.0,0,183.00460496360355,no
retail,0,3,medium,6.0,1,181.6252313876795,no
retail,0,3,high,7.0,0,184.8249877777794,no
marketing,0,4,medium,5.0,0,178.97915129558214,no
operations,0,4,high,6.0,0,183.4106757248304,no
support,0,4,medium,6.0,1,181.9152584242172,no
operations,0,3,medium,6.0,0,182.04639991260007,no
marketing,0,3,medium,3.0,0,175.43357295932978,no
engineering,0,4,medium,6.0,1,183.88637540347847,no
engineering,0,3,medium,6.0,0,184.20280083287508,no
finance,0,3,high,6.0,0,184.30979622974203,no
retail,0,4,medium,7.0,0,184.9884333927114,no
engineering,0,3,high,7.0,0,184.828572871603,no
sales,0,4,high,4.0,0,178.2513159505034,no
support,0,3,high,6.0,0,182.7242483298157,no
retail,0,4,medium,6.0,1,184.2329250763675,no
marketing,1,3,medium,6.0,1,182.55840012803924,no
sales,0,3,medium,5.0,0,179.4861089102808,no
operations,0,3,medium,5.0,1,178.98635470773098,no
engineering,0,4,medium,4.0,0,177.51065097453392,no
IT,0,4,low,6.0,0,184.43606852093225,no
retail,0,4,medium,5.0,1,181.2520588403466,no
marketing,0,3,medium,7.0,0,185.302030608,no
sales,0,3,medium,5.0,1,180.7676690955324,no
sales,0,3,low,6.0,1,183.04142041278828,no
sales,0,3,high,5.0,1,179.12970853171035,no
operations,0,3,medium,7.0,1,185.5445827096492,no
engineering,0,3,high,5.0,0,180.6925248674181,no
support,0,3,medium,5.0,0,179.02722995217505,no
sales,0,3,medium,5.0,0,181.27362806223536,no
support,0,4,medium,6.0,0,183.917752459068,no
marketing,0,3,low,5.0,0,179.17738133862846,no
logistics,0,2,medium,5.0,0,180.0743074926491,no
operations,0,2,low,6.0,0,182.5838472146777,no
logistics,0,3,medium,6.0,0,182.435093171126,no
operations,0,3,medium,6.0,0,183.5051794602177,no
sales,0,4,medium,6.0,0,182.46591115228287,no
engineering,0,3,medium,6.0,0,182.9428929850572,no
marketing,0,4,medium,6.0,1,183.45860840137584,no
engineering,0,3,high,6.0,0,182.56486971636392,no
marketing,0,4,medium,5.0,0,180.04360227217586,no
IT,0,2,medium,6.0,1,182.0198720436652,no
retail,0,3,medium,6.0,0,183.73566119100448,no
engineering,0,3,medium,6.0,0,182.6231850727713,no
retail,0,3,medium,6.0,0,182.10489455206823,no
operations,0,3,medium,6.0,1,182.35986415079472,no
finance,0,3,high,5.0,1,180.66686480901288,no
engineering,0,3,high,5.0,0,181.22079314551905,no
operations,0,2,medium,4.0,0,177.782565881326,no
logistics,0,3,medium,3.0,1,175.4194462458718,no
retail,0,4,medium,5.0,0,179.44003637113636,no
retail,0,3,medium,5.0,0,178.58031846061382,no
logistics,0,3,high,6.0,0,183.5257385286712,no
operations,0,4,medium,5.0,0,180.6862864467609,no
sales,0,3,medium,5.0,1,180.4635447044627,no
sales,0,4,medium,6.0,0,182.20424084305068,no
engineering,0,4,high,6.0,0,182.8858585371374,no
logistics,0,4,high,5.0,0,179.14762063170144,no
marketing,0,4,medium,7.0,0,185.88465031759247,no
operations,0,4,low,6.0,0,183.84287456712727,no
operations,0,4,medium,4.0,0,177.22486182417305,no
support,0,2,medium,6.0,0,182.5283672044591,no
engineering,0,3,medium,6.0,1,182.11738431063628,no
engineering,0,4,medium,5.0,0,178.7386496568133,no
IT,0,3,medium,6.0,0,181.53576973857983,no
operations,0,3,low,6.0,0,181.6776339593921,no
sales,0,3,medium,6.0,0,183.88427524519523,no
engineering,0,4,medium,6.0,1,184.3002616406809,no
sales,0,3,high,5.0,1,181.39065075828043,no
sales,0,3,medium,6.0,0,182.4996884781497,no
engineering,0,4,medium,6.0,0,183.91940384558723,no
retail,0,3,low,6.0,0,184.1433046026775,no
engineering,0,3,low,7.0,0,185.1258237643302,no
sales,0,4,high,4.0,0,176.7518358962499,no
retail,0,3,high,6.0,0,183.08560498882548,no
engineering,0,3,medium,6.0,0,182.34619334430977,no
sales,0,4,low,5.0,0,180.70987319818272,no
support,1,4,medium,7.0,0,185.1337208844409,no
sales,1,3,high,6.0,1,183.6860969533909,no
support,0,3,high,4.0,0,177.93706282842797,no
logistics,0,3,medium,6.0,1,182.9934785084192,no
IT,0,3,low,6.0,0,182.26605173582792,no
operations,0,3,medium,5.0,0,179.28476114350104,no
operations,0,2,medium,4.0,0,175.96156914753882,no
operations,1,3,high,5.0,0,180.4122719661458,no
operations,0,4,medium,5.0,0,181.1033034934972,no
sales,0,4,medium,6.0,1,183.09883003781965,no
sales,0,3,medium,6.0,0,182.27491125779363,no
operations,0,3,low,6.0,0,182.5933418761717,no
retail,0,4,medium,5.0,0,180.81048263097367,no
finance,0,4,medium,6.0,0,182.9478411948416,no
support,0,3,low,3.0,1,175.4700794676066,no
retail,0,3,high,5.0,0,180.80008139852632,no
operations,0,5,medium,6.0,0,184.4288986413156,no
finance,0,4,medium,6.0,0,183.32660034262813,no
operations,0,3,medium,5.0,0,180.3413806137383,no
engineering,0,3,medium,7.0,0,186.6225504202611,no
support,0,3,medium,7.0,0,184.883492400454,no
engineering,0,2,medium,6.0,1,182.9040328951077,no
engineering,0,4,medium,4.0,0,177.4953226646025,no
sales,0,3,medium,6.0,1,183.2013478796332,no
retail,0,3,low,6.0,0,183.8336453704188,no
marketing,0,3,low,4.0,0,177.26150427218676,no
retail,0,3,medium,5.0,0,181.2869593999044,no
marketing,0,4,high,6.0,0,184.34331816757512,no
engineering,0,4,medium,6.0,0,181.64698497083512,no
sales,0,3,medium,6.0,0,183.40374635424865,no
sales,0,3,medium,6.0,0,181.5736164084481,no
engineering,0,3,medium,4.0,0,177.7481899800539,no
operations,0,2,medium,6.0,1,183.1595261702473,no
support,0,4,medium,5.0,1,178.98033391407253,no
engineering,0,3,medium,7.0,0,184.72364667808924,no
logistics,0,3,low,6.0,0,181.976809792402,no
sales,0,3,medium,5.0,0,179.41384108953167,no
retail,0,3,medium,6.0,0,182.76369654824657,no
engineering,0,3,medium,5.0,0,180.4098534775367,no
sales,0,3,high,5.0,0,178.54606930720854,no
operations,0,4,low,6.0,1,182.8802109684109,no
engineering,0,3,medium,6.0,1,182.4591438574538,no
sales,0,3,medium,5.0,1,181.00609769190388,no
sales,0,4,medium,6.0,0,184.4281696682133,no
marketing,0,3,high,8.0,0,187.5311892745988,no
support,0,3,medium,5.0,0,180.7197170720195,no
operations,0,3,high,6.0,0,184.21418184772088,no
engineering,0,4,medium,4.0,1,177.08690833476558,no
retail,0,3,medium,5.0,0,181.3227369413351,no
marketing,0,4,medium,7.0,0,185.42659639315409,no
operations,0,3,medium,6.0,0,183.978126911311,no
sales,0,3,medium,5.0,0,179.82772249302116,no
sales,0,3,medium,6.0,1,183.1683545175724,no
engineering,0,3,medium,7.0,0,184.60998475034503,no
sales,0,4,medium,5.0,0,180.7873501089581,yes
finance,0,3,medium,7.0,0,186.7997737780653,no
engineering,0,3,high,6.0,0,183.1523373793458,no
engineering,0,4,high,6.0,0,181.64081632723008,no
marketing,0,3,medium,5.0,1,180.0323555193599,no
engineering,0,4,medium,5.0,0,180.66044747746463,no
engineering,0,3,medium,5.0,0,180.44481257620475,no
marketing,0,2,medium,7.0,0,186.1523899159364,no
support,0,3,medium,5.0,1,181.25804504783912,no
retail,0,3,medium,6.0,0,182.6625059128573,no
sales,0,3,low,7.0,0,187.24009815554348,no
engineering,0,3,medium,6.0,0,182.23456762428944,no
sales,0,3,medium,8.0,0,188.1807473671861,no
sales,0,4,high,6.0,0,182.50389203637897,no
marketing,0,3,medium,5.0,1,180.3854026492786,no
sales,0,4,low,6.0,1,183.3004484664013,no
finance,0,3,high,5.0,0,180.80474916536127,no
engineering,0,4,high,5.0,0,179.55156749478934,no
sales,0,4,medium,6.0,1,182.8650999016945,no
operations,0,3,medium,5.0,1,180.7868371380209,no
sales,0,2,medium,5.0,1,180.19272368958008,no
operations,0,3,medium,5.0,0,178.68664845693985,no
operations,0,4,medium,6.0,0,183.1103780785729,no
operations,0,3,medium,6.0,0,182.707090223708,no
sales,0,3,medium,4.0,0,176.07866760562453,no
engineering,0,3,medium,6.0,0,183.3553557600561,no
operations,0,3,medium,6.0,0,182.01498036195844,no
sales,0,3,medium,5.0,0,180.2982003326977,no
retail,0,3,medium,8.0,1,188.5476585969644,no
support,0,3,high,6.0,0,183.10689751530867,no
retail,0,3,low,5.0,1,180.1719230764712,no
retail,0,3,medium,7.0,1,185.1309466197165,no
retail,0,4,medium,6.0,1,184.02671073685747,no
retail,0,3,medium,6.0,0,181.6043230179696,no
operations,0,4,medium,4.0,1,177.69338441361072,no
IT,1,3,medium,5.0,0,180.36622753058813,no
admin,0,4,high,5.0,1,181.4789681783037,no
admin,0,3,medium,5.0,0,180.8159212545972,no
engineering,0,4,medium,8.0,1,187.68800001333784,no
operations,0,3,medium,5.0,0,180.02839468220282,no
sales,0,2,medium,6.0,0,183.8206125520351,no
admin,0,4,medium,3.0,0,174.77495598183208,no
sales,0,3,medium,5.0,0,180.94338321968337,no
sales,0,3,medium,6.0,0,183.0932903838209,no
admin,0,3,medium,6.0,0,181.70027847419487,no
sales,0,3,low,7.0,0,186.78574161093687,no
IT,0,4,medium,8.0,0,188.68560065321373,no
logistics,0,3,medium,5.0,0,179.7143281807787,no
retail,0,3,medium,6.0,0,184.1082773608842,no
sales,0,2,low,6.0,0,182.0577312343964,no
retail,1,3,medium,4.0,0,177.00591305202613,no
retail,0,3,high,5.0,0,180.3626759249162,no
finance,0,3,medium,5.0,0,180.0630837910467,no
retail,0,3,low,6.0,0,183.18741601959,no
retail,0,3,medium,5.0,1,180.15884094317803,no
sales,0,3,low,6.0,1,183.92591475758024,no
operations,0,4,medium,6.0,0,183.3290669415647,no
support,0,3,medium,5.0,0,181.30530293278235,no
sales,0,4,medium,6.0,1,183.8093827169588,no
retail,0,4,low,6.0,0,183.59061347270227,no
operations,0,3,low,6.0,0,183.1584142681759,no
engineering,0,3,high,5.0,0,179.82261132370658,no
retail,0,4,medium,5.0,0,178.79304976020873,no
operations,0,3,high,6.0,0,182.5709744607089,no
finance,0,3,medium,4.0,0,178.30554547870943,no
engineering,0,3,medium,5.0,0,179.14831237439853,no
retail,0,3,medium,6.0,0,182.11384602337017,no
engineering,0,2,medium,6.0,1,183.56396375919323,no
IT,1,3,medium,6.0,0,181.5313713505185,no
sales,1,4,high,5.0,0,180.9520284481161,no
sales,0,3,medium,5.0,0,179.72824194265274,no
retail,0,4,low,6.0,0,184.0568598119915,no
retail,0,4,medium,5.0,0,180.37193646259743,no
marketing,0,3,high,5.0,1,179.25904999943947,no
engineering,0,4,low,6.0,1,184.21429523751223,no
logistics,0,2,medium,6.0,0,183.3047705346288,no
sales,0,3,low,6.0,0,183.47958124171657,no
retail,0,3,high,6.0,1,182.4098820653261,no
engineering,0,4,medium,6.0,0,183.6924414458908,no
operations,0,3,medium,7.0,0,185.0292464792824,no
operations,0,3,medium,4.0,0,178.26072415007346,no
operations,0,3,medium,5.0,0,179.41901319784594,no
admin,0,4,medium,6.0,0,182.6210410585461,no
operations,0,3,medium,7.0,0,186.15661065109043,no
support,0,2,medium,5.0,0,180.5606669641056,no
sales,0,4,medium,5.0,1,179.85065538720568,no
retail,0,3,high,6.0,1,183.298574610886,no
sales,0,4,medium,6.0,0,181.5459959636309,no
retail,0,3,medium,5.0,0,179.79858863793925,no
operations,0,4,medium,6.0,0,182.3573629868729,no
sales,0,5,low,6.0,0,182.70412912323923,no
IT,0,3,medium,6.0,0,182.26524499564496,no
engineering,0,4,low,5.0,0,180.9490242005252,no
engineering,0,3,medium,6.0,0,183.31893963843967,no
engineering,0,3,high,6.0,0,183.30572616376008,no
engineering,0,2,medium,6.0,0,183.36355344353507,no
engineering,0,3,medium,6.0,0,182.96121922905303,no
marketing,0,3,medium,4.0,0,177.63537094502422,no
retail,0,3,medium,5.0,1,180.63196568678964,no
operations,0,4,medium,7.0,1,185.8352238575083,no
operations,0,4,medium,5.0,0,180.85653767427868,no
sales,0,4,medium,6.0,0,181.74190367731143,no
retail,0,3,medium,5.0,1,180.79551155955124,no
operations,0,4,medium,5.0,0,179.6132825740456,no
IT,0,3,medium,6.0,1,183.0014282487197,no
finance,0,3,high,5.0,0,179.6382295753952,no
logistics,0,3,low,5.0,0,179.66712952324764,no
support,0,4,medium,5.0,0,181.22531605456533,no
sales,0,3,medium,5.0,1,178.67921133235453,no
retail,0,3,medium,5.0,0,181.0774906953833,no
marketing,0,4,medium,6.0,0,183.59247086203496,no
finance,0,3,medium,6.0,0,184.2765321986624,no
sales,0,3,low,5.0,1,178.8968875464874,no
operations,0,3,low,5.0,0,180.39185028543025,no
operations,0,4,medium,7.0,1,185.43127706642585,no
sales,0,4,high,5.0,0,179.03392834877192,no
sales,0,3,medium,6.0,0,183.5538519185768,no
sales,0,3,medium,6.0,1,182.00006763509657,no
engineering,0,3,low,4.0,1,177.50384214246185,no
sales,0,3,medium,5.0,0,181.2038223982146,no
sales,0,3,high,4.0,1,177.1060583230128,no
sales,0,4,medium,5.0,1,179.98462900052846,no
support,0,3,medium,5.0,0,180.5632367258524,no
retail,0,4,medium,4.0,1,177.84515365165936,no
sales,0,4,medium,6.0,0,182.7764983478348,no
engineering,0,4,medium,5.0,0,181.4356384747804,no
engineering,0,4,high,6.0,0,184.0721711730168,no
admin,0,4,medium,5.0,0,181.37953117337,no
engineering,0,3,medium,4.0,0,178.20746361346795,no
sales,0,4,medium,7.0,0,184.75037556266105,no
engineering,1,3,low,5.0,0,181.42072892482213,no
operations,0,4,high,6.0,0,182.78716709108065,no
retail,0,3,high,6.0,1,183.0803186644889,no
sales,0,3,medium,7.0,0,185.8953300035463,no
sales,0,4,medium,5.0,0,179.33132363881006,no
support,0,3,medium,6.0,0,183.47623407116308,no
engineering,0,3,high,5.0,0,180.84062655246345,no
sales,0,3,medium,3.0,0,174.57826805470387,no
sales,0,4,low,6.0,0,183.76617245019463,no
operations,0,3,medium,5.0,0,179.80269133721924,no
engineering,0,4,low,6.0,0,182.23490522011977,no
operations,0,3,medium,6.0,1,183.34857222951044,no
operations,0,4,medium,5.0,0,179.73196334865054,no
retail,0,3,high,6.0,0,182.5982124570226,no
retail,0,3,high,5.0,0,180.56453437952865,no
engineering,0,3,medium,6.0,0,183.6144135622256,no
retail,0,4,medium,5.0,1,178.54044684563303,no
finance,0,4,low,7.0,0,187.02894790065247,no
IT,0,4,medium,5.0,0,181.0070101061111,no
operations,0,3,high,5.0,0,180.73640849795308,no
