POSITION,PROMOTION,ASSIGNMENTs,SALARY,SENIORITY_YEARS,GENDER,ABSENCES,TURNOVER
admin,0,3,high,6.0,0,182.62621709075788,no
sales,0,3,medium,5.0,0,180.52923036640345,no
admin,0,3,medium,8.0,0,189.0870398380916,no
retail,0,3,low,8.0,1,187.5739202879434,yes
support,0,3,medium,8.0,1,188.2818614075828,yes
support,0,3,low,7.0,0,184.58191560400056,no
sales,0,4,low,7.0,0,186.40259132459727,no
support,0,3,medium,6.0,0,183.5016925505355,no
logistics,0,3,medium,7.0,1,185.33818581631203,no
sales,0,3,medium,8.0,0,190.0915904399591,no
sales,0,3,medium,7.0,0,187.30906380045067,yes
logistics,0,4,medium,7.0,0,186.7910903651739,yes
retail,0,3,medium,7.0,1,185.93440500619008,yes
sales,0,3,medium,5.0,1,178.93056171981365,no
logistics,0,3,medium,8.0,0,188.17081464789868,yes
engineering,0,3,medium,6.0,1,183.02363004035536,no
operations,0,3,medium,6.0,0,183.93970583630173,yes
engineering,0,3,medium,5.0,0,179.10255519943308,no
support,0,3,medium,6.0,0,183.27873531394783,no
engineering,0,3,medium,5.0,0,181.3763998969208,no
retail,0,4,low,4.0,0,177.3253347778594,no
admin,0,3,high,8.0,0,187.70089737329047,yes
sales,0,2,medium,7.0,0,185.605144022354,yes
sales,0,3,medium,7.0,1,186.64556814969524,yes
sales,0,3,medium,8.0,0,189.5575699279557,no
retail,0,4,medium,9.0,1,192.2781550890153,no
sales,0,3,high,7.0,1,185.35038106853864,no
retail,0,4,low,4.0,0,177.57956101764512,yes
admin,0,4,high,7.0,0,186.3133136213941,yes
logistics,0,4,low,8.0,0,188.35520424975465,yes
operations,0,3,medium,7.0,0,185.56804978551827,no
retail,0,3,medium,5.0,0,180.82732051017285,no
support,0,3,low,5.0,0,179.71351379439196,no
engineering,0,2,medium,7.0,0,186.97454624192247,yes
operations,1,3,medium,5.0,1,181.2381341757772,no
sales,0,3,medium,6.0,0,184.44141560199387,no
operations,0,3,medium,6.0,1,181.7507922797081,no
support,0,3,medium,5.0,1,180.66362568438413,no
support,0,4,high,7.0,1,186.81343237762724,yes
sales,0,3,high,6.0,0,184.3043644442048,yes
sales,0,3,medium,11.0,0,197.29022422768563,no
retail,0,3,medium,7.0,0,187.10845031305468,no
IT,0,4,medium,7.0,0,186.65704440228657,yes
finance,1,3,low,5.0,1,180.8171654555783,no
marketing,0,3,medium,4.0,1,177.03433235680626,yes
retail,0,3,medium,7.0,0,184.69818312761527,no
sales,0,2,medium,6.0,0,181.8860719848448,no
support,0,2,low,5.0,0,181.09677479771287,no
engineering,0,4,medium,7.0,0,186.4559446630364,yes
retail,0,4,medium,5.0,0,179.14412168990444,no
marketing,0,3,low,6.0,1,182.8193355320685,no
admin,0,2,medium,7.0,1,186.8823323171113,yes
operations,0,4,medium,6.0,0,181.7663434337733,no
operations,0,3,high,7.0,0,187.4138950715344,yes
engineering,0,3,high,6.0,1,183.08531543839084,yes
logistics,0,4,medium,3.0,0,172.73396159076984,yes
marketing,1,3,low,7.0,1,185.18883774046105,no
sales,0,3,low,5.0,0,180.8518942977616,no
operations,0,4,medium,8.0,0,187.9378911141644,no
retail,0,3,medium,7.0,1,184.5671231334773,no
IT,0,4,low,6.0,1,182.69928046464145,yes
finance,0,4,low,7.0,0,187.02894790065247,no
sales,0,4,medium,6.0,0,181.5459959636309,no
finance,1,4,medium,7.0,1,184.97144178500128,no
sales,0,3,medium,4.0,0,176.3345315726444,no
engineering,0,4,medium,8.0,0,188.26135466407453,no
marketing,0,4,high,6.0,0,183.52965709323635,no
sales,0,4,medium,7.0,0,185.9324055198924,yes
sales,0,4,medium,5.0,0,180.5554083880244,no
retail,0,3,medium,6.0,0,183.2993979915065,yes
engineering,0,4,medium,7.0,0,186.5333583343342,yes
IT,0,2,medium,6.0,0,181.52382962640823,no
support,0,2,medium,5.0,1,179.68092244433538,no
engineering,0,4,medium,4.0,0,177.4953226646025,no
support,0,3,medium,7.0,0,185.95004253293988,no
marketing,0,3,medium,5.0,0,181.17181102673987,no
engineering,0,3,low,7.0,0,187.1591550544285,no
operations,0,4,medium,4.0,0,178.4917554625357,yes
operations,0,4,low,8.0,0,188.5123490214185,yes
marketing,0,4,low,8.0,0,188.9159082490282,no
engineering,0,3,medium,8.0,1,189.38641581072656,yes
operations,0,3,high,7.0,0,186.6419339597296,no
operations,0,3,high,7.0,1,187.1233661989517,no
sales,0,3,medium,8.0,0,188.95517237236265,no
sales,0,3,high,8.0,0,189.69243777103145,no
engineering,0,3,medium,8.0,1,188.0090400347908,no
retail,0,3,high,6.0,1,183.298574610886,no
operations,0,3,medium,5.0,1,179.37814270565596,no
retail,0,3,low,5.0,0,181.4137131681348,no
engineering,0,4,medium,8.0,1,187.560482508821,yes
engineering,0,3,low,7.0,0,185.43353078461377,no
engineering,0,3,medium,6.0,0,183.4089040821792,no
engineering,0,4,low,8.0,0,188.08838362301225,yes
support,0,4,high,9.0,1,190.61174519552927,no
support,0,4,high,7.0,1,185.97904758287063,no
retail,0,3,low,8.0,0,190.1415325512818,no
operations,0,3,medium,4.0,0,178.15463936076685,no
support,0,4,low,7.0,0,185.84536072669144,yes
retail,0,3,medium,9.0,0,191.19441906846305,yes
retail,0,3,medium,7.0,0,186.93601363812,no
engineering,0,3,medium,7.0,0,187.279305922602,yes
marketing,0,2,high,6.0,0,183.51564790303829,yes
marketing,0,3,medium,8.0,0,187.59183816134995,no
sales,0,4,medium,6.0,0,182.58317927229936,no
operations,0,3,high,6.0,1,183.0556106161353,no
engineering,0,3,low,6.0,1,181.6332994760802,no
sales,0,3,medium,9.0,0,190.739497097108,no
engineering,0,3,medium,4.0,0,175.8483703007662,yes
marketing,0,3,medium,5.0,1,180.3274173175096,no
operations,0,3,medium,6.0,0,182.34790126674488,yes
engineering,0,3,medium,6.0,0,182.41477553641107,no
sales,0,4,medium,6.0,0,182.5184879718556,no
sales,0,4,high,9.0,0,192.35341592750487,no
retail,0,2,medium,6.0,0,181.83156325669623,no
operations,0,3,low,7.0,0,186.5972710666907,no
support,0,3,medium,8.0,0,187.65054456788192,no
retail,0,4,medium,7.0,1,187.1187232775877,yes
retail,0,3,medium,8.0,0,190.1541026667923,no
engineering,0,3,high,7.0,0,185.8784187305285,yes
support,0,3,medium,7.0,0,185.21447913640307,no
finance,0,4,medium,8.0,0,190.15727587234463,no
marketing,0,3,medium,5.0,0,179.11159740760166,yes
support,0,3,medium,6.0,0,183.05838331087395,no
engineering,0,4,medium,5.0,1,179.3581853820682,no
support,0,3,medium,8.0,0,188.37484452533184,yes
finance,0,3,medium,6.0,0,184.0383793003332,no
engineering,0,3,medium,7.0,1,184.9314490979796,no
IT,0,4,medium,7.0,0,187.4859001628105,yes
retail,0,3,medium,8.0,0,188.7095758978557,yes
operations,0,3,medium,5.0,0,179.19664261081854,no
finance,0,3,medium,7.0,0,186.6039601164832,no
support,0,3,low,6.0,0,183.8138783692902,no
retail,0,3,medium,5.0,0,179.1007427200339,no
finance,0,3,high,4.0,0,178.1754455495412,no
marketing,0,3,medium,5.0,0,180.8224821159856,yes
admin,0,3,low,8.0,0,187.9937562555284,yes
support,0,4,low,5.0,0,179.92355547002072,no
support,0,3,high,6.0,0,182.55521557907525,no
retail,0,3,medium,6.0,0,183.7455317068227,no
retail,0,3,medium,5.0,1,179.58203569968208,no
sales,0,4,medium,5.0,0,178.65020939655437,yes
support,0,4,medium,7.0,1,185.6563379799181,yes
admin,0,3,medium,5.0,0,181.04100831888536,no
engineering,0,4,medium,8.0,1,189.42221817818503,no
engineering,0,4,medium,7.0,0,187.30153258271304,yes
engineering,0,4,low,9.0,1,191.8397954080631,no
retail,0,3,medium,6.0,0,182.2744027612981,yes
finance,0,3,medium,7.0,1,186.88971896587896,no
support,0,3,low,5.0,0,178.54894163677992,no
sales,1,4,high,5.0,0,180.51669221875383,no
retail,0,2,medium,6.0,0,181.6067536117804,no
sales,0,4,medium,6.0,1,181.9994775934244,no
marketing,0,3,low,7.0,1,186.941219449004,yes
marketing,0,3,medium,5.0,0,181.29319180908783,no
operations,0,3,medium,7.0,0,187.39559755044644,yes
operations,0,3,medium,6.0,0,181.90078723470344,no
engineering,0,4,high,7.0,1,186.98447924038425,no
finance,0,3,medium,8.0,0,188.39458535055547,no
logistics,0,3,medium,7.0,1,184.74412365385825,no
support,0,4,medium,7.0,0,185.8616123746973,no
sales,0,4,high,11.0,1,199.3772726528759,no
IT,0,3,medium,2.0,0,172.2979841337635,no
operations,0,3,high,9.0,0,192.36425505476203,no
retail,0,3,medium,6.0,0,182.2076474991801,yes
admin,0,3,medium,6.0,1,181.7739624786748,no
operations,0,3,high,7.0,1,187.26369249140228,yes
sales,0,4,medium,6.0,0,184.0710523186277,no
logistics,0,2,medium,8.0,0,188.34926813502503,yes
retail,0,3,medium,6.0,0,184.4262640937457,no
sales,0,4,medium,9.0,0,191.8163910330062,no
retail,0,3,high,5.0,1,179.72362274618592,no
retail,0,3,medium,5.0,0,180.4475066151668,no
operations,0,4,medium,6.0,0,182.995168695294,no
logistics,0,3,medium,7.0,0,186.6954610768316,no
logistics,0,3,low,6.0,0,182.24479683527247,no
support,0,3,low,7.0,0,186.5916693961045,no
engineering,0,3,high,7.0,1,185.4384005611261,no
IT,0,4,medium,5.0,1,179.51344468412591,no
sales,0,3,medium,6.0,0,181.7951401234073,yes
operations,0,3,medium,6.0,0,183.79954344829832,no
sales,0,3,medium,7.0,0,186.939001893744,yes
operations,0,3,low,7.0,0,185.7079536348093,no
engineering,0,3,low,7.0,0,186.2438350096409,no
finance,0,3,medium,7.0,0,187.0597357337963,no
marketing,0,2,high,6.0,0,183.418056623042,yes
finance,0,3,low,8.0,1,187.51690413665244,yes
engineering,0,3,high,7.0,0,185.3339966740253,no
engineering,0,4,medium,5.0,0,180.82786075320072,yes
engineering,0,3,medium,8.0,1,189.3718860866257,yes
retail,0,3,low,8.0,1,188.88005758736,no
operations,0,4,medium,5.0,0,179.73196334865054,no
sales,0,3,medium,5.0,0,181.3519938309344,no
IT,0,4,medium,7.0,0,186.5064237498405,no
IT,0,2,medium,9.0,1,192.0090749444809,no
finance,0,4,high,7.0,0,185.0174878242738,yes
sales,0,3,high,5.0,0,180.5378970335664,no
sales,0,3,medium,4.0,0,178.42320631851535,no
engineering,0,3,medium,8.0,0,188.1318379003724,yes
IT,0,3,medium,7.0,0,186.59946218316747,no
sales,0,4,low,7.0,1,187.07538436229265,no
sales,0,4,medium,4.0,0,176.02445337326472,no
marketing,0,4,medium,9.0,1,191.02866863665835,no
retail,0,3,medium,7.0,1,185.5704289927173,no
logistics,0,3,low,6.0,0,184.3856315170789,no
operations,0,3,medium,5.0,0,180.55911961239616,yes
engineering,0,3,medium,5.0,0,180.12462242132844,no
operations,0,3,low,6.0,0,182.6221763361941,yes
finance,0,4,high,5.0,0,178.8244323866521,no
finance,0,2,low,6.0,0,184.236211401294,no
retail,0,3,medium,8.0,1,187.7181320786076,yes
sales,0,3,medium,7.0,0,185.39717475715224,no
operations,0,4,medium,5.0,1,181.08224840250767,no
sales,0,4,medium,6.0,0,182.6626471928152,no
marketing,0,3,low,7.0,1,184.65905016897608,no
retail,0,3,high,7.0,0,184.8249877777794,no
IT,0,4,medium,8.0,0,188.4994701636211,yes
retail,0,3,medium,8.0,0,189.5962477395831,yes
engineering,0,2,low,8.0,0,189.2827709034513,yes
retail,0,3,medium,6.0,0,182.2677308032887,no
sales,0,4,medium,8.0,1,190.3117965601836,no
sales,0,3,medium,6.0,1,182.00006763509657,no
sales,0,3,medium,7.0,0,184.7596130159833,no
admin,0,4,medium,5.0,0,179.5765009657377,yes
operations,0,3,high,7.0,0,186.72721417255607,no
admin,0,3,medium,7.0,0,187.3721212803144,no
sales,0,2,medium,6.0,1,181.5351981256439,no
engineering,0,4,low,4.0,0,177.95133312336867,yes
finance,1,3,medium,6.0,1,184.41311752768965,no
logistics,0,4,medium,5.0,0,181.28214189605148,no
logistics,0,3,low,7.0,0,185.82369304785044,no
engineering,0,3,high,7.0,0,185.9418993702969,no
support,0,3,high,4.0,0,175.86272096732978,no
sales,0,3,medium,8.0,0,187.7617104380002,no
sales,0,4,high,6.0,1,184.3407154604615,no
logistics,0,3,medium,6.0,0,182.65785158048203,no
sales,0,3,medium,8.0,0,190.3987223756058,no
engineering,0,3,medium,4.0,0,178.17617357827874,no
finance,0,3,medium,6.0,0,181.84509820279592,no
IT,0,3,medium,6.0,0,182.8146804526776,no
admin,0,3,medium,7.0,0,186.919153263645,no
sales,0,4,medium,7.0,0,186.9035251543748,yes
operations,0,4,medium,7.0,0,184.6792273446217,yes
operations,0,4,medium,5.0,0,180.38722697737148,no
operations,0,3,medium,6.0,0,183.07397114191565,no
sales,0,3,medium,7.0,0,186.1615512258,no
retail,0,4,medium,7.0,0,185.8369077399417,no
marketing,0,3,medium,8.0,0,189.5409819329676,no
retail,0,3,medium,7.0,1,184.5591488396585,no
retail,0,4,high,8.0,0,188.6311773809041,yes
IT,0,3,medium,6.0,0,182.08226543920563,yes
engineering,0,4,medium,8.0,0,190.2145296038496,no
operations,0,3,low,7.0,1,186.93566158734976,yes
admin,0,4,high,8.0,0,189.0303783597433,yes
retail,0,4,medium,6.0,0,182.50612587547133,no
retail,0,4,medium,5.0,0,179.5151944105649,yes
support,0,3,low,3.0,0,175.23264199813173,no
marketing,0,3,medium,8.0,0,188.1758545028815,yes
sales,0,3,low,6.0,0,183.4254118801074,no
support,0,3,low,7.0,1,186.62078134976647,no
retail,0,3,medium,7.0,0,185.4699404400372,no
retail,0,3,medium,7.0,0,185.8092404809818,no
operations,0,3,medium,4.0,0,177.44747382267963,no
retail,0,4,medium,5.0,1,179.01291595520058,yes
operations,0,4,high,6.0,0,182.687272632695,no
finance,0,3,medium,9.0,0,192.1907603949099,no
finance,0,4,medium,7.0,0,185.8894580211948,no
marketing,0,3,medium,8.0,0,189.28580186166823,no
retail,0,4,low,6.0,0,183.59061347270227,no
operations,0,4,high,6.0,0,184.266353612647,yes
admin,0,3,low,7.0,1,187.1002722673968,no
finance,0,4,low,9.0,0,191.30121815634385,no
engineering,0,4,medium,9.0,0,191.12467545261305,no
sales,0,4,medium,5.0,0,180.6207274664756,no
retail,0,4,low,7.0,0,185.44514507094704,no
sales,0,3,medium,5.0,0,178.74913031242266,no
sales,0,4,high,6.0,0,183.72673732081168,no
support,0,3,high,6.0,0,182.2941213706335,no
sales,0,3,medium,6.0,0,182.0941091990936,yes
retail,0,3,medium,7.0,0,184.67083168188591,no
admin,0,3,medium,7.0,1,185.7537301270806,no
retail,0,3,medium,6.0,0,182.9049800486549,no
retail,0,4,medium,7.0,0,184.69027339698368,no
retail,0,3,medium,8.0,0,188.1702475993405,yes
marketing,0,3,high,6.0,0,181.94814131198527,no
operations,0,4,high,6.0,0,183.2017858295509,yes
retail,0,3,low,7.0,0,184.56734456361025,no
operations,0,3,high,6.0,0,182.8291753580755,no
sales,0,3,medium,4.0,0,176.45809696568878,no
sales,0,2,medium,5.0,0,178.80291112611454,yes
engineering,0,3,medium,7.0,1,187.31318932137333,yes
retail,0,3,medium,5.0,0,180.67896459271813,no
sales,0,3,low,7.0,0,185.73298054091967,no
sales,0,4,medium,8.0,0,189.7223239961184,no
operations,0,3,medium,6.0,1,184.03705878415988,yes
retail,0,2,medium,9.0,0,192.20343263985023,no
retail,1,3,low,6.0,0,181.5211493960298,no
retail,0,3,low,6.0,0,182.8955994344295,no
support,0,3,high,7.0,0,186.6449786895637,no
support,0,4,medium,7.0,0,184.99202383034304,no
finance,0,2,medium,5.0,0,180.71574199321697,yes
engineering,0,4,medium,5.0,0,180.05460984083356,no
sales,0,3,medium,9.0,0,190.6130112642818,no
finance,0,3,high,5.0,0,180.80474916536127,no
support,1,4,medium,7.0,0,185.1337208844409,no
engineering,0,4,medium,5.0,1,181.35649136678103,no
sales,0,3,medium,8.0,1,187.9985820942645,yes
sales,0,4,medium,6.0,0,183.19401727712165,no
finance,0,4,medium,8.0,0,187.6319674108734,yes
operations,0,3,medium,8.0,0,188.07362228482745,yes
sales,0,3,low,9.0,0,190.6946017558681,no
engineering,0,3,low,8.0,0,187.81758591039392,no
operations,0,3,high,7.0,0,186.7232365908111,no
sales,0,4,high,7.0,0,184.68500475204723,no
admin,0,3,medium,5.0,0,180.34241920992125,no
operations,0,3,high,3.0,0,174.8765390054258,no
sales,0,3,medium,9.0,0,192.8844589571068,no
operations,0,3,low,6.0,0,183.27563421807665,no
engineering,0,3,medium,5.0,0,180.3520990791588,no
operations,0,3,medium,8.0,0,188.980009240476,no
IT,0,4,medium,8.0,1,187.5330569133067,yes
admin,0,3,medium,8.0,1,189.18298911370547,no
retail,0,3,low,7.0,0,186.63053651744983,no
operations,0,4,high,6.0,0,184.4299792475969,no
support,0,4,medium,5.0,1,180.89771843388849,no
retail,0,4,medium,8.0,0,188.78413320990333,no
logistics,0,4,high,5.0,1,180.79349762226312,yes
operations,0,4,low,7.0,0,185.55309505200228,no
marketing,0,3,low,5.0,0,180.2351227883995,no
sales,1,3,high,9.0,0,191.17718595576207,no
sales,0,3,medium,7.0,1,185.0854403583894,no
retail,0,3,high,6.0,0,183.6050853224702,no
engineering,0,3,low,6.0,0,182.39640941340016,no
retail,0,4,medium,8.0,0,189.91014740475543,no
retail,0,3,medium,7.0,1,186.1780914858536,yes
retail,0,4,medium,3.0,1,175.31586952986723,yes
IT,0,3,low,9.0,0,192.99074550777,no
operations,0,3,medium,5.0,0,180.9278317504936,no
retail,0,3,medium,8.0,0,188.611157913273,yes
retail,0,4,medium,9.0,0,190.8489679342756,no
retail,0,3,medium,6.0,0,182.4678731684893,no
admin,0,3,medium,7.0,0,186.9610977166678,no
retail,1,3,high,6.0,1,183.4507827152032,no
sales,0,4,high,7.0,1,185.6817900661448,no
operations,0,4,medium,7.0,0,185.50509316113943,no
logistics,0,3,medium,5.0,0,179.7143281807787,no
admin,0,3,medium,6.0,0,183.8589074881383,no
sales,0,4,high,7.0,0,186.77228934425017,no
engineering,0,2,medium,8.0,0,189.97864466781232,yes
operations,0,4,medium,7.0,0,185.1064446937823,no
retail,0,3,medium,5.0,0,180.67293707278805,no
engineering,0,3,medium,6.0,0,181.64666478927887,no
operations,0,3,medium,6.0,0,183.8921477428549,no
engineering,0,3,high,5.0,0,179.5757874125414,yes
support,0,3,medium,6.0,0,184.34273647339927,no
operations,0,2,medium,5.0,1,179.41876323898364,no
retail,0,3,medium,6.0,1,182.45686076161925,no
marketing,0,3,low,5.0,0,179.95165296866492,yes
sales,0,4,low,5.0,1,180.7511205562983,no
sales,0,3,medium,9.0,0,191.14051237590192,no
retail,0,3,medium,8.0,0,189.0960647150017,yes
operations,0,3,low,8.0,0,187.97590441822385,yes
logistics,0,3,medium,7.0,0,186.04067274951188,no
engineering,0,4,medium,7.0,0,186.11874650480564,yes
operations,0,3,medium,10.0,0,195.61911173905025,no
finance,0,4,high,6.0,0,181.62333550918385,no
sales,0,3,low,5.0,0,179.85844866609563,no
retail,0,4,medium,8.0,0,187.600242730564,yes
engineering,0,2,medium,9.0,0,190.77950720680693,no
operations,0,5,medium,6.0,0,183.5056399138262,yes
sales,0,2,medium,8.0,1,189.2027435157089,no
sales,0,2,medium,4.0,0,177.74269670676304,no
finance,0,3,medium,5.0,0,180.53471542946565,no
IT,0,3,medium,4.0,0,177.86818485350423,no
engineering,0,3,medium,7.0,0,186.48472674731715,no
engineering,0,3,medium,7.0,1,184.9925046736419,no
engineering,0,3,low,4.0,0,178.49880332715813,yes
operations,0,3,medium,8.0,0,187.5534236305056,yes
operations,0,3,medium,6.0,0,183.6362950266919,no
sales,1,4,high,6.0,0,184.4400670647984,no
admin,0,3,medium,4.0,0,177.7363930744613,no
engineering,0,3,medium,5.0,0,181.4374982172748,no
engineering,0,2,medium,8.0,0,189.02989413216807,yes
operations,0,4,medium,5.0,0,178.96094043472831,no
operations,0,3,medium,6.0,0,181.62049807739783,yes
sales,0,3,high,7.0,1,186.8417552585884,yes
retail,0,3,medium,7.0,0,186.1808224842135,yes
IT,0,4,medium,10.0,1,195.68446118866265,no
admin,0,4,medium,6.0,0,183.56536611103303,no
operations,0,4,medium,10.0,1,193.81988900750244,no
logistics,0,3,high,5.0,0,180.00569606171652,no
operations,0,4,medium,7.0,1,187.40113448478536,no
retail,0,3,medium,7.0,0,185.52480636708373,yes
sales,0,3,high,5.0,0,180.6697524852061,no
support,0,3,medium,5.0,1,179.42477885181407,yes
engineering,0,3,medium,10.0,0,193.9070392738361,no
finance,0,3,medium,7.0,0,185.569058347622,no
sales,0,3,medium,9.0,0,192.8742459625396,no
engineering,0,3,medium,6.0,0,183.1593139965932,no
marketing,0,3,high,4.0,0,178.31798985497548,yes
finance,0,3,medium,5.0,1,179.8179102549886,no
retail,0,3,medium,6.0,0,181.57218681702383,yes
operations,0,3,medium,6.0,1,182.9700462887664,no
engineering,0,3,low,6.0,0,183.8974678136368,no
retail,0,3,high,8.0,0,189.5930273165579,no
operations,0,3,medium,7.0,1,187.15340000272684,yes
retail,0,4,medium,6.0,0,182.38067237579835,no
sales,0,4,high,9.0,0,192.9391233360268,no
sales,0,3,medium,6.0,0,181.89574219945715,yes
engineering,0,3,high,5.0,0,178.8238806019887,no
marketing,0,3,medium,6.0,0,182.9603707177321,no
support,0,3,high,6.0,0,183.10689751530867,no
retail,0,4,medium,7.0,0,186.8336896133229,yes
engineering,0,3,medium,6.0,0,183.7758657825772,yes
retail,0,2,low,5.0,0,181.0401366980657,no
operations,0,3,medium,4.0,0,178.42188153558604,no
retail,0,3,medium,5.0,0,179.2818936659857,no
operations,0,3,medium,7.0,0,184.82031824872072,no
IT,0,3,high,6.0,0,181.957573396166,yes
marketing,0,3,high,7.0,0,184.80685174322272,yes
admin,0,3,medium,8.0,0,189.20462383909464,yes
retail,0,4,medium,5.0,0,179.8244563380574,no
sales,0,4,high,4.0,0,176.7518358962499,no
operations,0,3,high,7.0,0,186.15330933826425,no
engineering,0,3,medium,10.0,0,193.7458106890915,no
operations,0,3,medium,7.0,0,187.3188994597905,no
retail,0,4,medium,5.0,0,179.4538325077829,no
sales,0,4,medium,8.0,0,189.931619727749,no
engineering,0,3,high,6.0,0,181.51414487761963,no
operations,0,4,medium,5.0,0,179.35522829629758,yes
sales,0,3,medium,6.0,1,184.3879036220955,no
sales,0,4,low,7.0,0,185.0215526423906,no
engineering,0,4,medium,8.0,0,189.47949447902457,no
marketing,0,3,medium,7.0,0,187.16789687334145,yes
retail,0,4,medium,8.0,1,187.7649292720145,yes
engineering,0,3,medium,8.0,0,188.6725428473408,yes
sales,0,4,medium,6.0,0,181.51656059562603,no
retail,0,3,high,6.0,0,182.12963722354243,no
sales,0,3,low,7.0,0,185.3176494215761,yes
retail,0,3,medium,5.0,0,181.48815100663296,no
retail,0,4,high,7.0,1,187.24230904919563,yes
support,0,3,medium,5.0,0,181.02708577308604,no
logistics,0,3,medium,5.0,0,181.1262849563456,no
operations,0,2,low,7.0,0,185.9369675242429,yes
admin,0,3,medium,7.0,0,185.6989806599345,no
retail,0,3,medium,5.0,0,180.5001174859028,no
operations,0,3,medium,6.0,0,183.859994117704,no
retail,0,3,low,7.0,0,185.8708083310914,no
logistics,0,4,low,7.0,1,186.9370391259839,no
engineering,0,3,medium,7.0,0,186.3112957526095,no
engineering,0,4,medium,7.0,0,184.9153762751692,no
logistics,0,3,high,9.0,0,191.84733640984703,no
operations,0,4,low,5.0,0,178.54314343447857,no
operations,0,3,low,4.0,0,175.8533701514747,yes
engineering,0,3,medium,6.0,0,184.28355695520003,no
engineering,0,4,low,6.0,1,183.090468564345,no
finance,1,3,high,8.0,0,189.9486873459284,no
operations,0,4,medium,8.0,0,188.1240775074551,no
sales,0,4,low,6.0,0,183.76617245019463,no
sales,0,4,medium,8.0,0,188.02271443010773,yes
sales,0,3,medium,7.0,0,187.40564117194648,yes
operations,0,3,high,7.0,0,184.9945492388713,no
operations,0,3,medium,9.0,0,192.5555901945497,no
retail,0,3,high,10.0,0,193.7003213019024,no
sales,0,2,low,6.0,0,182.0577312343964,no
retail,0,3,medium,7.0,0,186.0104503932841,yes
operations,0,4,medium,5.0,0,180.6862864467609,no
operations,0,3,medium,9.0,0,190.89874153976493,no
sales,0,3,low,8.0,0,188.4675712598656,yes
sales,0,4,low,6.0,1,183.3004484664013,no
engineering,0,4,medium,4.0,0,177.29555847060874,no
sales,0,3,medium,7.0,0,186.18862088169203,no
operations,0,3,low,4.0,0,175.96924531415294,no
operations,0,3,medium,8.0,0,188.05938451866183,no
retail,0,4,medium,7.0,1,186.02583891957988,no
operations,0,3,high,7.0,0,184.75710172859945,yes
sales,0,3,medium,9.0,0,192.32458940477463,no
operations,0,4,low,8.0,0,188.30058035393432,no
operations,0,2,low,6.0,0,182.5838472146777,no
engineering,0,3,medium,7.0,0,184.9255168212912,no
engineering,0,4,high,7.0,0,185.2401461923124,no
sales,0,2,high,7.0,0,184.68340309497265,no
sales,0,5,low,6.0,0,182.70412912323923,no
sales,0,4,medium,8.0,0,189.0435024103403,no
support,0,3,medium,8.0,1,188.8844858478897,yes
finance,0,4,medium,7.0,0,187.04634561746127,no
support,0,3,high,8.0,0,188.19638859325224,yes
