ASSIGNMENT_KEY,EMP_CODE,ASSIGNMENT_START_DATE,ASSIGNMENT_END_DATE,ASSIGNMENT_ORGUNIT_CODE,ASSIGNMENT_OFFICE_CODE,ASSIGNMENT_JOB_CODE,ASSIGNMENT_JOB_LIB
693_20121001_29991231,693,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
694_20121001_29991231,694,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
695_20121001_29991231,695,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
696_20121001_29991231,696,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
707_20140101_29991231,707,2014-01-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
902_20121001_29991231,902,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
96704_20200301_29991231,96704,2020-03-01,2999-12-31 00:00:00,CERVOR01  ,CERVST01  ,CNAVS01   ,Comité de direction                                         
537_20121001_29991231,537,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRS08     ,Responsable du Personnel                                    
538_20140101_20140121,538,2014-01-01,2014-01-21 00:00:00,FRS200    ,FRS052    ,FRS05     ,Directeur                                                   
539_20140101_29991231,539,2014-01-01,2999-12-31 00:00:00,FRS001    ,FRS061    ,FRS06     ,Président Directeur Général                                 
540_20140101_29991231,540,2014-01-01,2999-12-31 00:00:00,FRS001    ,FRS101    ,FRS10     ,Secrétaire Général                                          
541_20140101_29991231,541,2014-01-01,2999-12-31 00:00:00,FRS100    ,FRS051    ,FRS05     ,Directeur                                                   
542_20140101_29991231,542,2014-01-01,2999-12-31 00:00:00,FRS120    ,FRS072    ,FRS07     ,Responsable Informatique                                    
545_20140101_20140201,545,2014-01-01,2014-02-01 00:00:00,FRS200    ,FRS052    ,FRS05     ,Directeur                                                   
545_20130101_20131231,545,2013-01-01,2013-12-31 00:00:00,FRS110    ,FRS071    ,FRS07     ,Responsable Informatique                                    
546_20131209_29991231,546,2013-12-09,2999-12-31 00:00:00,UO01      ,          ,FRP03     ,Chef de projet                                              
605_20140908_20160411,605,2014-09-08,2016-04-11 00:00:00,FRP001    ,          ,FRP03     ,Chef de projet                                              
708_20140101_29991231,708,2014-01-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
709_20121001_29991231,709,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
710_20140101_29991231,710,2014-01-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
715_20141001_29991231,715,2014-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
716_20141001_29991231,716,2014-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
774_20150327_29991231,774,2015-03-27,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
15701_20090101_29991231,15701,2009-01-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
16082_20140101_20160201,16082,2014-01-01,2016-02-01 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
18001_20100101_20100131,18001,2010-01-01,2010-01-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
18001_20100201_20100228,18001,2010-02-01,2010-02-28 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
18001_20100301_29991231,18001,2010-03-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
20302_20100101_29991231,20302,2010-01-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
18961_20160525_29991231,18961,2016-05-25,2999-12-31 00:00:00,INT001    ,FRPNJ9    ,FRP01     ,Analyste                                                    
20301_20100101_29991231,20301,2010-01-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
14701_20160101_20160301,14701,2016-01-01,2016-03-01 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
14721_20160101_29991231,14721,2016-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
6374_20160223_29991231,6374,2016-02-23,2999-12-31 00:00:00,BEE001    ,BEE01     ,BEE01     ,Directeur Général                                           
6372_20160309_29991231,6372,2016-03-09,2999-12-31 00:00:00,BEE001    ,BEE01     ,BEE01     ,Directeur Général                                           
15301_20160101_29991231,15301,2016-01-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
15381_20160101_20160203,15381,2016-01-01,2016-02-03 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
15421_20140101_29991231,15421,2014-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
15481_20140701_20141231,15481,2014-07-01,2014-12-31 00:00:00,FRG023    ,FRG054    ,FRG05     ,_Responsable                                                
5821_20160408_29991231,5821,2016-04-08,2999-12-31 00:00:00,FRS110    ,          ,FRS01     ,Analyste                                                    
15462_20130101_29991231,15462,2013-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
608_20140916_20150101,608,2014-09-16,2015-01-01 00:00:00,FRP UO LIL,          ,FRP03     ,Chef de projet                                              
608_20150301_29991231,608,2015-03-01,2999-12-31 00:00:00,FRP UO LIL,          ,FRP03     ,Chef de projet                                              
610_20140916_29991231,610,2014-09-16,2999-12-31 00:00:00,FRP UO LIL,          ,FRP03     ,Chef de projet                                              
609_20180916_29991231,609,2018-09-16,2999-12-31 00:00:00,FRPNJ02   ,          ,FRP03     ,Chef de projet                                              
612_20140916_29991231,612,2014-09-16,2999-12-31 00:00:00,FRP UO LIL,          ,FRP03     ,Chef de projet                                              
613_20140918_29991231,613,2014-09-18,2999-12-31 00:00:00,FRP UO LIL,          ,FRP03     ,Chef de projet                                              
609_20140916_20180915,609,2014-09-16,2018-09-15 00:00:00,FRPNJ02   ,          ,FRP03     ,Chef de projet                                              
778_20140201_29991231,778,2014-02-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
13168_20160201_29991231,13168,2016-02-01,2999-12-31 00:00:00,BEE001    ,BEE01     ,BEE01     ,Directeur Général                                           
4641_20150801_20151031,4641,2015-08-01,2015-10-31 00:00:00,INT001    ,FRPNJ9    ,FRP01     ,Analyste                                                    
15681_20090101_29991231,15681,2009-01-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
15941_20130115_29991231,15941,2013-01-15,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
16041_20130101_29991231,16041,2013-01-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
16241_20140101_20160201,16241,2014-01-01,2016-02-01 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
16261_20140101_20160201,16261,2014-01-01,2016-02-01 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
13160_20160308_29991231,13160,2016-03-08,2999-12-31 00:00:00,BEE001    ,BEE01     ,BEE01     ,Directeur Général                                           
17721_20151215_29991231,17721,2015-12-15,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
18941_20160101_29991231,18941,2016-01-01,2999-12-31 00:00:00,BEE001    ,          ,BE0001    ,Directeur général                                           
19403_20160301_20160314,19403,2016-03-01,2016-03-14 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
19403_20160315_29991231,19403,2016-03-15,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
19412_20150901_20160105,19412,2015-09-01,2016-01-05 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
19412_20160524_20160531,19412,2016-05-24,2016-05-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
19412_20160601_29991231,19412,2016-06-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
19541_20150101_29991231,19541,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
791_20140101_20141231,791,2014-01-01,2014-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
796_20150101_20150304,796,2015-01-01,2015-03-04 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
118902_20201102_29991231,118902,2020-11-02,2999-12-31 00:00:00,GB01      ,          ,FRT094    ,TEST                                                        
544_20140101_29991231,544,2014-01-01,2999-12-31 00:00:00,INT100    ,CERPRS01  ,INT01     ,Analyste                                                    
118903_20201102_29991231,118903,2020-11-02,2999-12-31 00:00:00,GB01      ,          ,FRT094    ,TEST                                                        
118923_20200323_29991231,118923,2020-03-23,2999-12-31 00:00:00,FRG005    ,FRG054    ,FRG05     ,_Responsable                                                
83661_20180201_20180228,83661,2018-02-01,2018-02-28 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
83661_20180301_20180331,83661,2018-03-01,2018-03-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
83661_20180401_29991231,83661,2018-04-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
83661_20180501_29991231,83661,2018-05-01,2999-12-31 00:00:00,FRG005    ,FRG054    ,FRG05     ,_Responsable                                                
118982_20200323_29991231,118982,2020-03-23,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
15581_20150701_29991231,15581,2015-07-01,2999-12-31 00:00:00,FRP001    ,          ,FRP01     ,Analyste                                                    
15762_20090101_29991231,15762,2009-01-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
20461_20160101_29991231,20461,2016-01-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
20303_20150101_29991231,20303,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
20501_20160101_29991231,20501,2016-01-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
20601_20150101_20150131,20601,2015-01-01,2015-01-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
20602_20150101_20150331,20602,2015-01-01,2015-03-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
20602_20160501_29991231,20602,2016-05-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
20641_20160101_29991231,20641,2016-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
20701_20160101_29991231,20701,2016-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
595_20140101_29991231,595,2014-01-01,2999-12-31 00:00:00,FRPUO01   ,          ,FRP04     ,Directeur Général                                           
597_20140701_29991231,597,2014-07-01,2999-12-31 00:00:00,FRP UO LIL,          ,FRP03     ,Chef de projet                                              
598_20140701_29991231,598,2014-07-01,2999-12-31 00:00:00,FRP UO LIL,          ,FRP03     ,Chef de projet                                              
599_20140702_29991231,599,2014-07-02,2999-12-31 00:00:00,FRP UO LIL,          ,FRP03     ,Chef de projet                                              
600_20140701_29991231,600,2014-07-01,2999-12-31 00:00:00,FRP UO LIL,          ,FRP03     ,Chef de projet                                              
602_20140101_20170410,602,2014-01-01,2017-04-10 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
603_20140905_20150131,603,2014-09-05,2015-01-31 00:00:00,FRP UO LIL,          ,FRP03     ,Chef de projet                                              
604_20140908_20150131,604,2014-09-08,2015-01-31 00:00:00,FRP UO LIL,          ,FRP03     ,Chef de projet                                              
765_20140101_29991231,765,2014-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
766_20150401_29991231,766,2015-04-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
767_20150401_29991231,767,2015-04-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
770_20150327_29991231,770,2015-03-27,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
119522_20200901_29991231,119522,2020-09-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
119562_20170101_29991231,119562,2017-01-01,2999-12-31 00:00:00,FRG005    ,FRG054    ,FRG05     ,_Responsable                                                
119602_20170101_29991231,119602,2017-01-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
119622_20200201_29991231,119622,2020-02-01,2999-12-31 00:00:00,BEG001    ,BEG01     ,BEG01     ,Directeur Général                                           
119682_20200101_20210131,119682,2020-01-01,2021-01-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
16422_20150101_29991231,16422,2015-01-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
16441_20160203_29991231,16441,2016-02-03,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
453_19980101_20000131,453,1998-01-01,2000-01-31 00:00:00,INT114    ,ATS014    ,INT01     ,Analyste                                                    
16782_20150901_20160105,16782,2015-09-01,2016-01-05 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
123862_20190101_20210131,123862,2019-01-01,2021-01-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
629_20141003_29991231,629,2014-10-03,2999-12-31 00:00:00,FRP UO LIL,          ,FRP03     ,Chef de projet                                              
630_20141006_29991231,630,2014-10-06,2999-12-31 00:00:00,FRP UO LIL,          ,FRP03     ,Chef de projet                                              
634_20130202_29991231,634,2013-02-02,2999-12-31 00:00:00,IGENG01   ,SGAJ113   ,SGL002    ,Assistant de Planification                                  
635_20130215_20140315,635,2013-02-15,2014-03-15 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
797_20150101_29991231,797,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
798_20150101_29991231,798,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
799_20150101_29991231,799,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
800_20150101_29991231,800,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
802_20150101_20151231,802,2015-01-01,2015-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
804_20140101_29991231,804,2014-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
808_20150101_20180430,808,2015-01-01,2018-04-30 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
119882_20200901_29991231,119882,2020-09-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
119982_20200901_29991231,119982,2020-09-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
19961_20160101_29991231,19961,2016-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
19830_20150101_29991231,19830,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
19864_20150101_29991231,19864,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
19881_20150101_29991231,19881,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
19681_20090101_29991231,19681,2009-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
20042_20150101_20200217,20042,2015-01-01,2020-02-17 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
20101_20160101_29991231,20101,2016-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
20201_20140101_29991231,20201,2014-01-01,2999-12-31 00:00:00,BEE001    ,BEE01     ,BEE01     ,Directeur Général                                           
20221_20150101_20160309,20221,2015-01-01,2016-03-09 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
20281_20100101_29991231,20281,2010-01-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
637_20070101_29991231,637,2007-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
638_20140101_29991231,638,2014-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
640_20140315_29991231,640,2014-03-15,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
641_20121001_29991231,641,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
642_20121001_29991231,642,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
643_20121001_29991231,643,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
644_20121001_29991231,644,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
645_20121001_29991231,645,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
646_20121001_29991231,646,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
120022_20200101_29991231,120022,2020-01-01,2999-12-31 00:00:00,CERPER01  ,CERSEK02  ,CNAPS02   ,Secrétaire                                                  
120062_20200101_29991231,120062,2020-01-01,2999-12-31 00:00:00,CERPER01  ,CERSEK02  ,CNAPS02   ,Secrétaire                                                  
120202_20180101_29991231,120202,2018-01-01,2999-12-31 00:00:00,UOLUP     ,EMPLUP    ,LUP001    ,Emploi 1                                                    
120242_20150101_29991231,120242,2015-01-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
120262_20190101_29991231,120262,2019-01-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
120302_20200101_29991231,120302,2020-01-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
19081_20160526_29991231,19081,2016-05-26,2999-12-31 00:00:00,INT001    ,FRPNJ9    ,FRP01     ,Analyste                                                    
16081_20150101_29991231,16081,2015-01-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
19085_20150101_20151001,19085,2015-01-01,2015-10-01 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
19782_20150101_29991231,19782,2015-01-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
20765_20100101_29991231,20765,2010-01-01,2999-12-31 00:00:00,FRG001    ,FRG011    ,FRG01     ,_Directeur Général                                          
522_20160101_29991231,522,2016-01-01,2999-12-31 00:00:00,FRS111    ,FRS073    ,FRS07     ,Responsable Informatique                                    
605_20160412_29991231,605,2016-04-12,2999-12-31 00:00:00,FRS001    ,          ,FRS01     ,Analyste                                                    
20766_20150101_29991231,20766,2015-01-01,2999-12-31 00:00:00,UOLUP     ,EMPLUP    ,LUP001    ,Emploi 1                                                    
20784_20160101_29991231,20784,2016-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
647_20121001_29991231,647,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
649_20121001_29991231,649,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
650_20121001_29991231,650,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
